train_loss,train_accuracy,valid_loss,valid_accuracy
0.1613,0.9352,0.0831,0.9596
0.0832,0.9594,0.0739,0.9701
0.0687,0.9712,0.0631,0.9732
0.0778,0.9688,0.1287,0.9575
0.0597,0.9715,0.0798,0.9659
0.0488,0.9773,0.0578,0.9779
0.0309,0.9841,0.0557,0.9806
0.0298,0.9859,0.0642,0.9727
0.0375,0.9820,0.0676,0.9779
0.0228,0.9896,0.0745,0.9701
0.0348,0.9832,0.0648,0.9764
0.0264,0.9859,0.1054,0.9732
0.0209,0.9892,0.0465,0.9811
0.0151,0.9907,0.0477,0.9821
0.0589,0.9795,0.0657,0.9769
0.0489,0.9813,0.1041,0.9611
0.0378,0.9864,0.0700,0.9758
0.0200,0.9907,0.0569,0.9811
0.0352,0.9841,0.0576,0.9764
0.0160,0.9934,0.0536,0.9790
0.0131,0.9933,0.0481,0.9816
0.0253,0.9883,0.0590,0.9816
0.0086,0.9955,0.0593,0.9832
0.0229,0.9894,0.0769,0.9758
0.0259,0.9889,0.0634,0.9795
0.0094,0.9940,0.0609,0.9769
0.0078,0.9961,0.0965,0.9758
0.0057,0.9964,0.1007,0.9764
0.0395,0.9884,0.0823,0.9743
0.0194,0.9908,0.0995,0.9706
0.0140,0.9934,0.0610,0.9779
0.0120,0.9943,0.0699,0.9774
0.0046,0.9969,0.0856,0.9706
0.0050,0.9972,0.0660,0.9774
0.0084,0.9968,0.0689,0.9821
0.0329,0.9873,0.0864,0.9769
0.0142,0.9945,0.0826,0.9816
0.0073,0.9961,0.0732,0.9827
0.0065,0.9961,0.0914,0.9737
0.0046,0.9973,0.0656,0.9837
0.0021,0.9983,0.0886,0.9821
0.0249,0.9929,0.0574,0.9842
0.0073,0.9963,0.0596,0.9827
0.0055,0.9978,0.0926,0.9727
0.0187,0.9913,0.1042,0.9732
0.0033,0.9980,0.1049,0.9779
0.0166,0.9929,0.0813,0.9790
0.0312,0.9893,0.1020,0.9753
0.0078,0.9963,0.1254,0.9727
0.0103,0.9950,0.0957,0.9774
0.0017,0.9992,0.0911,0.9785
0.0016,0.9995,0.0917,0.9785
0.0018,0.9989,0.0898,0.9790
0.0008,0.9996,0.0905,0.9800
0.0009,0.9994,0.0906,0.9795
0.0015,0.9995,0.0930,0.9806
0.0012,0.9994,0.0933,0.9800
0.0015,0.9995,0.0915,0.9806
0.0011,0.9997,0.0989,0.9811
0.0009,0.9991,0.0997,0.9811
0.0004,1.0000,0.1038,0.9816
0.0004,0.9999,0.1077,0.9806
0.0003,0.9999,0.1063,0.9816
0.0007,0.9994,0.1058,0.9806
0.0004,1.0000,0.1071,0.9832
0.0001,0.9999,0.1088,0.9837
0.0003,0.9999,0.1099,0.9800
0.0006,0.9997,0.1043,0.9832
0.0002,0.9999,0.1081,0.9816
0.0002,1.0000,0.1111,0.9816
0.0002,0.9997,0.1105,0.9811
0.0003,0.9997,0.1105,0.9800
0.0002,1.0000,0.1106,0.9806
0.0002,0.9999,0.1145,0.9816
0.0002,0.9997,0.1123,0.9827
0.0000,1.0000,0.1146,0.9816
0.0001,1.0000,0.1170,0.9800
0.0003,0.9997,0.1158,0.9827
0.0001,1.0000,0.1124,0.9827
0.0004,0.9999,0.1182,0.9832
0.0010,0.9996,0.1326,0.9816
0.0003,0.9999,0.1324,0.9837
0.0004,0.9996,0.1293,0.9811
0.0002,0.9997,0.1325,0.9811
0.0001,1.0000,0.1369,0.9827
0.0001,0.9999,0.1368,0.9832
0.0001,0.9999,0.1366,0.9842
0.0004,0.9996,0.1234,0.9821
0.0002,0.9997,0.1224,0.9800
0.0002,1.0000,0.1200,0.9790
0.0001,1.0000,0.1159,0.9806
0.0001,1.0000,0.1208,0.9806
0.0000,1.0000,0.1215,0.9806
0.0001,0.9999,0.1258,0.9806
0.0002,0.9999,0.1268,0.9806
0.0001,1.0000,0.1240,0.9806
0.0001,1.0000,0.1322,0.9816
0.0001,1.0000,0.1307,0.9816
0.0001,1.0000,0.1352,0.9811
0.0000,1.0000,0.1432,0.9779
