train_loss,train_accuracy,valid_loss,valid_accuracy
0.2919,0.8701,0.1111,0.9496
0.1281,0.9396,0.1065,0.9548
0.1763,0.9284,0.1116,0.9443
0.1044,0.9535,0.0802,0.9590
0.0813,0.9581,0.0706,0.9632
0.0737,0.9613,0.0840,0.9596
0.0631,0.9679,0.1338,0.9470
0.0536,0.9703,0.0753,0.9622
0.0434,0.9747,0.0808,0.9659
0.0543,0.9735,0.1903,0.9139
0.0444,0.9748,0.1035,0.9617
0.0441,0.9778,0.0716,0.9659
0.0326,0.9799,0.1063,0.9554
0.0356,0.9827,0.2756,0.9013
0.0461,0.9731,0.0921,0.9585
0.0160,0.9902,0.1063,0.9617
0.0109,0.9925,0.1081,0.9669
0.0330,0.9834,0.1503,0.9632
0.0342,0.9814,0.1633,0.9596
0.0138,0.9934,0.1213,0.9585
0.0274,0.9866,0.1169,0.9575
0.0188,0.9875,0.1032,0.9522
0.0176,0.9908,0.1146,0.9606
0.0016,0.9989,0.3502,0.9485
0.0392,0.9813,0.1274,0.9606
0.0124,0.9935,0.1058,0.9601
0.0161,0.9922,0.2848,0.9044
0.0546,0.9743,0.1127,0.9590
0.0080,0.9954,0.1393,0.9653
0.0178,0.9908,0.1146,0.9606
0.0211,0.9899,0.0861,0.9575
0.0178,0.9911,0.1041,0.9653
0.0066,0.9961,0.1132,0.9622
0.0050,0.9972,0.1496,0.9590
0.0017,0.9990,0.1397,0.9685
0.0032,0.9978,0.0972,0.9648
0.0081,0.9959,0.1497,0.9643
0.0258,0.9888,0.1105,0.9659
0.0090,0.9961,0.1205,0.9632
0.0452,0.9808,0.0968,0.9496
0.0140,0.9936,0.1577,0.9580
0.0023,0.9987,0.1985,0.9554
0.0190,0.9948,0.1734,0.9102
0.0221,0.9889,0.1657,0.9533
0.0022,0.9986,0.2374,0.9596
0.0275,0.9862,0.1274,0.9590
0.0354,0.9864,0.0820,0.9538
0.0054,0.9976,0.1545,0.9533
0.0043,0.9977,0.1447,0.9659
0.0222,0.9933,0.1322,0.9338
0.0414,0.9801,0.0961,0.9585
0.0186,0.9903,0.0976,0.9580
0.0102,0.9939,0.0906,0.9611
0.0066,0.9961,0.0987,0.9617
0.0039,0.9978,0.1112,0.9617
0.0034,0.9985,0.1099,0.9622
0.0025,0.9990,0.1161,0.9617
0.0017,0.9992,0.1282,0.9611
0.0010,0.9994,0.1307,0.9627
0.0008,0.9996,0.1422,0.9632
0.0007,0.9996,0.1482,0.9648
0.0004,0.9999,0.1485,0.9632
0.0005,0.9995,0.1616,0.9638
0.0002,1.0000,0.1727,0.9638
0.0004,0.9997,0.1660,0.9601
0.0001,0.9999,0.1741,0.9638
0.0007,0.9994,0.1618,0.9601
0.0005,0.9999,0.2116,0.9601
0.0001,1.0000,0.1902,0.9622
0.0002,0.9999,0.2031,0.9632
0.0001,1.0000,0.1902,0.9632
0.0000,1.0000,0.1893,0.9638
0.0000,1.0000,0.1994,0.9638
0.0000,1.0000,0.2007,0.9627
0.0001,0.9999,0.1815,0.9653
0.0000,1.0000,0.1923,0.9638
0.0000,1.0000,0.2240,0.9611
0.0004,0.9997,0.2191,0.9606
0.0001,1.0000,0.2468,0.9622
0.0000,1.0000,0.2636,0.9622
0.0012,0.9996,0.2615,0.9569
0.0014,0.9995,0.2199,0.9569
0.0002,0.9999,0.2001,0.9622
0.0001,1.0000,0.2142,0.9611
0.0001,1.0000,0.2170,0.9611
0.0001,0.9999,0.2491,0.9575
0.0001,1.0000,0.2123,0.9606
0.0001,0.9999,0.2066,0.9617
0.0001,1.0000,0.2451,0.9611
0.0000,1.0000,0.2433,0.9611
0.0000,1.0000,0.2296,0.9611
0.0005,0.9996,0.2356,0.9590
0.0000,1.0000,0.2457,0.9580
0.0000,1.0000,0.2451,0.9585
0.0000,1.0000,0.2435,0.9580
0.0000,1.0000,0.2366,0.9601
0.0000,1.0000,0.2348,0.9617
0.0000,1.0000,0.2410,0.9606
0.0000,1.0000,0.2433,0.9611
0.0000,1.0000,0.2522,0.9596
