train_loss,train_accuracy,valid_loss,valid_accuracy
0.1770,0.9261,0.1370,0.9428
0.0838,0.9613,0.0676,0.9743
0.0622,0.9729,0.0820,0.9701
0.0525,0.9773,0.0735,0.9643
0.0502,0.9798,0.0701,0.9716
0.0755,0.9741,0.0826,0.9701
0.0515,0.9782,0.0883,0.9706
0.0331,0.9828,0.0354,0.9858
0.0251,0.9871,0.0717,0.9811
0.0408,0.9846,0.0664,0.9706
0.0570,0.9791,0.0609,0.9732
0.0374,0.9845,0.0543,0.9821
0.0185,0.9906,0.0415,0.9848
0.0289,0.9868,0.0503,0.9827
0.0250,0.9888,0.0647,0.9774
0.0109,0.9939,0.0815,0.9779
0.0197,0.9911,0.0578,0.9758
0.0273,0.9855,0.0845,0.9785
0.0097,0.9948,0.0679,0.9806
0.0475,0.9846,0.0832,0.9701
0.0335,0.9843,0.0473,0.9816
0.0120,0.9931,0.0544,0.9848
0.0228,0.9938,0.0548,0.9869
0.0134,0.9917,0.0444,0.9842
0.0049,0.9971,0.0451,0.9884
0.0024,0.9983,0.0371,0.9884
0.0053,0.9977,0.0550,0.9869
0.0090,0.9958,0.0728,0.9769
0.0664,0.9782,0.0597,0.9790
0.0255,0.9894,0.0506,0.9827
0.0100,0.9952,0.0676,0.9779
0.0146,0.9943,0.0551,0.9863
0.0177,0.9938,0.0560,0.9800
0.0143,0.9949,0.0836,0.9680
0.0075,0.9967,0.0710,0.9790
0.0090,0.9953,0.0586,0.9779
0.0075,0.9961,0.0704,0.9806
0.0101,0.9967,0.0777,0.9779
0.0246,0.9922,0.0644,0.9832
0.0204,0.9927,0.0794,0.9779
0.0033,0.9977,0.0739,0.9827
0.0047,0.9980,0.0690,0.9858
0.0064,0.9968,0.0593,0.9821
0.0044,0.9976,0.0728,0.9779
0.0083,0.9955,0.0872,0.9832
0.0084,0.9949,0.0995,0.9774
0.0098,0.9969,0.1021,0.9737
0.0217,0.9933,0.0815,0.9764
0.0116,0.9958,0.0846,0.9816
0.0057,0.9973,0.0996,0.9837
0.0044,0.9983,0.0938,0.9806
0.0011,0.9991,0.0908,0.9816
0.0010,0.9992,0.0901,0.9816
0.0017,0.9991,0.0892,0.9821
0.0013,0.9994,0.0913,0.9821
0.0010,0.9989,0.0872,0.9837
0.0004,0.9997,0.0855,0.9853
0.0004,0.9999,0.0871,0.9837
0.0005,0.9997,0.0863,0.9853
0.0003,0.9997,0.0861,0.9853
0.0004,0.9997,0.0874,0.9842
0.0008,0.9995,0.0849,0.9858
0.0008,0.9997,0.0878,0.9837
0.0003,0.9997,0.0900,0.9827
0.0010,0.9994,0.0857,0.9842
0.0004,0.9999,0.0851,0.9832
0.0004,0.9997,0.0879,0.9821
0.0005,0.9996,0.0833,0.9858
0.0001,1.0000,0.0844,0.9863
0.0003,0.9999,0.0844,0.9848
0.0001,1.0000,0.0852,0.9837
0.0002,0.9999,0.0854,0.9858
0.0003,0.9997,0.0876,0.9848
0.0000,1.0000,0.0877,0.9842
0.0001,1.0000,0.0888,0.9853
0.0005,0.9996,0.0868,0.9858
0.0001,0.9999,0.0901,0.9853
0.0001,1.0000,0.0880,0.9853
0.0001,1.0000,0.0891,0.9842
0.0006,0.9996,0.0940,0.9842
0.0004,0.9999,0.1003,0.9832
0.0003,0.9999,0.0916,0.9858
0.0002,0.9999,0.0957,0.9842
0.0000,1.0000,0.0982,0.9848
0.0003,0.9999,0.0949,0.9848
0.0001,1.0000,0.1011,0.9848
0.0000,1.0000,0.1010,0.9837
0.0000,0.9999,0.1066,0.9848
0.0002,0.9997,0.1022,0.9853
0.0000,1.0000,0.1031,0.9842
0.0001,1.0000,0.1026,0.9848
0.0000,1.0000,0.1044,0.9853
0.0000,1.0000,0.1048,0.9863
0.0000,1.0000,0.1040,0.9863
0.0001,0.9999,0.1080,0.9858
0.0000,1.0000,0.1082,0.9858
0.0001,1.0000,0.1080,0.9848
0.0000,1.0000,0.1069,0.9848
0.0004,0.9997,0.1055,0.9863
0.0003,0.9999,0.1121,0.9869
