train_loss,train_accuracy,valid_loss,valid_accuracy
0.3739,0.8351,0.2197,0.9333
0.2122,0.9010,0.1169,0.9459
0.1716,0.9261,0.2806,0.8971
0.1878,0.9151,0.0994,0.9506
0.1091,0.9459,0.1088,0.9438
0.1219,0.9385,0.1792,0.9170
0.1441,0.9306,0.1526,0.9286
0.0897,0.9561,0.0826,0.9622
0.0878,0.9549,0.0830,0.9543
0.0766,0.9612,0.0726,0.9674
0.0691,0.9651,0.0770,0.9632
0.0480,0.9734,0.1453,0.9506
0.0695,0.9628,0.1352,0.9522
0.0590,0.9708,0.0884,0.9596
0.0429,0.9740,0.0627,0.9653
0.0529,0.9705,0.0892,0.9606
0.0356,0.9795,0.0953,0.9622
0.0322,0.9782,0.0873,0.9559
0.0658,0.9666,0.1131,0.9480
0.0649,0.9669,0.0794,0.9617
0.0365,0.9778,0.1058,0.9601
0.0291,0.9843,0.2361,0.9375
0.0216,0.9870,0.0874,0.9632
0.0190,0.9882,0.1187,0.9622
0.0923,0.9566,0.0916,0.9548
0.0244,0.9862,0.1414,0.9569
0.0316,0.9832,0.0938,0.9617
0.0126,0.9920,0.1272,0.9617
0.0283,0.9836,0.0754,0.9643
0.0473,0.9749,0.1188,0.9648
0.0320,0.9864,0.1863,0.9002
0.0783,0.9629,0.1187,0.9527
0.0225,0.9883,0.1586,0.9632
0.0401,0.9805,0.1430,0.9527
0.0212,0.9876,0.2159,0.9559
0.0177,0.9894,0.1289,0.9575
0.0053,0.9969,0.1400,0.9601
0.0034,0.9971,0.1815,0.9653
0.0373,0.9826,0.1563,0.9596
0.0164,0.9908,0.2220,0.9533
0.0107,0.9940,0.1461,0.9548
0.0352,0.9818,0.1344,0.9590
0.0249,0.9876,0.1226,0.9533
0.0431,0.9817,0.1640,0.9627
0.0122,0.9929,0.1191,0.9632
0.0043,0.9977,0.1438,0.9638
0.0081,0.9964,0.1706,0.9606
0.0056,0.9963,0.1153,0.9643
0.0040,0.9967,0.1697,0.9638
0.0006,0.9997,0.2640,0.9575
0.0006,0.9996,0.1996,0.9643
0.0002,0.9999,0.1990,0.9653
0.0002,1.0000,0.2030,0.9648
0.0005,0.9996,0.2147,0.9632
0.0002,0.9999,0.2222,0.9632
0.0001,0.9999,0.2299,0.9627
0.0001,1.0000,0.2253,0.9638
0.0001,1.0000,0.2344,0.9627
0.0001,1.0000,0.2559,0.9617
0.0001,1.0000,0.2326,0.9632
0.0001,1.0000,0.2324,0.9638
0.0001,1.0000,0.2751,0.9622
0.0000,1.0000,0.2639,0.9638
0.0001,1.0000,0.2389,0.9653
0.0000,1.0000,0.2453,0.9648
0.0001,1.0000,0.2673,0.9638
0.0001,1.0000,0.2531,0.9648
0.0000,1.0000,0.2391,0.9664
0.0001,0.9999,0.2193,0.9690
0.0001,1.0000,0.2762,0.9627
0.0000,1.0000,0.2443,0.9674
0.0002,0.9999,0.2678,0.9648
0.0000,1.0000,0.3401,0.9611
0.0002,0.9997,0.2843,0.9643
0.0000,1.0000,0.2883,0.9653
0.0000,1.0000,0.3012,0.9664
0.0000,1.0000,0.2785,0.9669
0.0000,1.0000,0.2879,0.9664
0.0000,1.0000,0.3080,0.9659
0.0000,1.0000,0.3408,0.9638
0.0000,1.0000,0.3027,0.9669
0.0000,1.0000,0.3196,0.9643
0.0000,1.0000,0.3104,0.9653
0.0000,1.0000,0.3192,0.9643
0.0000,1.0000,0.3025,0.9659
0.0000,1.0000,0.3151,0.9659
0.0000,1.0000,0.3236,0.9653
0.0000,1.0000,0.3257,0.9659
0.0000,1.0000,0.3314,0.9674
0.0000,1.0000,0.3485,0.9664
0.0041,0.9990,0.3003,0.9627
0.0001,1.0000,0.2761,0.9638
0.0001,0.9999,0.2937,0.9643
0.0001,1.0000,0.2775,0.9638
0.0000,1.0000,0.2760,0.9648
0.0001,1.0000,0.2656,0.9638
0.0001,1.0000,0.2921,0.9669
0.0000,1.0000,0.2908,0.9659
0.0000,1.0000,0.2896,0.9653
0.0000,1.0000,0.2902,0.9643
