train_loss,train_accuracy,valid_loss,valid_accuracy
0.2453,0.8982,0.1253,0.9359
0.1275,0.9394,0.0969,0.9527
0.0938,0.9584,0.1389,0.9391
0.1023,0.9539,0.1153,0.9538
0.0542,0.9750,0.1135,0.9538
0.0435,0.9740,0.1243,0.9380
0.0438,0.9748,0.0667,0.9680
0.0667,0.9729,0.1038,0.9559
0.0455,0.9766,0.1271,0.9428
0.0199,0.9880,0.0922,0.9632
0.0905,0.9604,0.2150,0.9270
0.0298,0.9851,0.0867,0.9580
0.0165,0.9901,0.3966,0.9107
0.0328,0.9837,0.1068,0.9601
0.0095,0.9952,0.2246,0.9359
0.0140,0.9945,0.1180,0.9632
0.0130,0.9941,0.4044,0.9102
0.0229,0.9902,0.1234,0.9632
0.0038,0.9975,0.1312,0.9596
0.0150,0.9947,0.1625,0.9543
0.0327,0.9859,0.0946,0.9575
0.0191,0.9906,0.1039,0.9559
0.0193,0.9910,0.1150,0.9596
0.0158,0.9934,0.1141,0.9638
0.0127,0.9945,0.2878,0.9375
0.0064,0.9964,0.1350,0.9606
0.0116,0.9948,0.1446,0.9543
0.0054,0.9969,0.0967,0.9611
0.0155,0.9934,0.1156,0.9627
0.0231,0.9903,0.1124,0.9517
0.0066,0.9961,0.1233,0.9585
0.0015,0.9992,0.1727,0.9664
0.0003,0.9999,0.2127,0.9643
0.0071,0.9973,0.1434,0.9622
0.0372,0.9869,0.1487,0.9632
0.0118,0.9954,0.2636,0.9454
0.0139,0.9943,0.1119,0.9527
0.0021,0.9989,0.1826,0.9585
0.0168,0.9936,0.1454,0.9548
0.0264,0.9916,0.1302,0.9480
0.0081,0.9967,0.1563,0.9580
0.0046,0.9981,0.1416,0.9611
0.0022,0.9987,0.1485,0.9611
0.0004,0.9999,0.1732,0.9601
0.0240,0.9907,0.1154,0.9522
0.0079,0.9964,0.1336,0.9648
0.0038,0.9986,0.1251,0.9585
0.0022,0.9985,0.1606,0.9590
0.0033,0.9981,0.1549,0.9548
0.0042,0.9986,0.1790,0.9585
0.0010,0.9990,0.1465,0.9596
0.0003,0.9999,0.1440,0.9601
0.0002,1.0000,0.1468,0.9596
0.0001,1.0000,0.1522,0.9601
0.0001,0.9999,0.1521,0.9611
0.0001,1.0000,0.1473,0.9611
0.0000,1.0000,0.1523,0.9611
0.0001,0.9999,0.1662,0.9611
0.0002,0.9997,0.1575,0.9611
0.0000,1.0000,0.1667,0.9611
0.0001,1.0000,0.1668,0.9611
0.0003,1.0000,0.2053,0.9606
0.0000,1.0000,0.2072,0.9601
0.0000,1.0000,0.2079,0.9601
0.0002,0.9999,0.1866,0.9601
0.0000,1.0000,0.1889,0.9601
0.0000,1.0000,0.2027,0.9590
0.0000,1.0000,0.2196,0.9611
0.0000,1.0000,0.2220,0.9601
0.0000,1.0000,0.2197,0.9601
0.0000,1.0000,0.2252,0.9601
0.0000,1.0000,0.2285,0.9601
0.0000,0.9999,0.2415,0.9632
0.0000,1.0000,0.2541,0.9632
0.0001,0.9999,0.2953,0.9580
0.0000,1.0000,0.3031,0.9585
0.0000,1.0000,0.3053,0.9596
0.0000,1.0000,0.3069,0.9596
0.0000,1.0000,0.3065,0.9596
0.0000,1.0000,0.3167,0.9590
0.0000,1.0000,0.3149,0.9601
0.0001,0.9999,0.2899,0.9632
0.0000,1.0000,0.2986,0.9601
0.0000,1.0000,0.3017,0.9596
0.0005,0.9997,0.3483,0.9632
0.0000,1.0000,0.3435,0.9617
0.0000,1.0000,0.3441,0.9606
0.0000,1.0000,0.3449,0.9611
0.0000,1.0000,0.3536,0.9585
0.0001,0.9999,0.3376,0.9622
0.0000,1.0000,0.3460,0.9632
0.0001,0.9999,0.3322,0.9611
0.0000,1.0000,0.3311,0.9617
0.0000,1.0000,0.3633,0.9648
0.0000,1.0000,0.3618,0.9606
0.0000,1.0000,0.3622,0.9606
0.0000,1.0000,0.3623,0.9606
0.0000,1.0000,0.3629,0.9606
0.0000,1.0000,0.3645,0.9606
0.0000,1.0000,0.3652,0.9606
