train_loss,train_accuracy,valid_loss,valid_accuracy
0.3722,0.8302,0.1400,0.9333
0.2302,0.9017,0.3557,0.8613
0.1531,0.9287,0.1382,0.9333
0.1492,0.9300,0.2003,0.9107
0.1601,0.9214,0.1090,0.9522
0.0936,0.9578,0.0874,0.9533
0.0966,0.9547,0.1158,0.9433
0.0837,0.9554,0.0745,0.9611
0.0575,0.9673,0.1177,0.9527
0.0664,0.9631,0.1530,0.9275
0.0589,0.9670,0.0711,0.9664
0.0606,0.9684,0.1002,0.9564
0.1293,0.9491,0.1293,0.9380
0.1095,0.9464,0.1080,0.9533
0.0470,0.9716,0.0772,0.9590
0.0477,0.9729,0.0951,0.9564
0.0399,0.9749,0.0914,0.9580
0.0341,0.9817,0.0840,0.9606
0.0462,0.9762,0.1130,0.9501
0.0531,0.9727,0.0722,0.9638
0.0217,0.9880,0.0766,0.9611
0.0256,0.9842,0.1344,0.9564
0.0156,0.9896,0.0769,0.9627
0.0415,0.9777,0.1288,0.9627
0.0331,0.9828,0.0856,0.9606
0.0150,0.9902,0.0793,0.9680
0.0094,0.9940,0.1512,0.9590
0.0420,0.9819,0.0956,0.9643
0.0405,0.9818,0.1271,0.9575
0.0098,0.9945,0.1671,0.9585
0.0090,0.9933,0.0950,0.9659
0.0333,0.9840,0.1012,0.9543
0.0714,0.9671,0.2378,0.9338
0.0137,0.9906,0.1021,0.9611
0.0129,0.9934,0.1425,0.9548
0.0243,0.9868,0.1126,0.9569
0.0115,0.9933,0.1253,0.9622
0.0038,0.9978,0.1335,0.9638
0.0120,0.9949,0.2422,0.9375
0.0268,0.9870,0.1349,0.9617
0.0056,0.9959,0.1534,0.9617
0.0557,0.9777,0.0898,0.9611
0.0140,0.9931,0.1418,0.9617
0.0189,0.9898,0.0768,0.9664
0.0146,0.9952,0.1273,0.9354
0.0169,0.9913,0.1038,0.9659
0.0130,0.9935,0.1163,0.9622
0.0123,0.9935,0.1698,0.9569
0.0315,0.9901,0.2516,0.9307
0.0224,0.9892,0.1090,0.9653
0.0036,0.9983,0.1163,0.9653
0.0018,0.9991,0.1189,0.9653
0.0015,0.9990,0.1201,0.9659
0.0011,0.9999,0.1211,0.9648
0.0007,0.9997,0.1288,0.9648
0.0009,0.9995,0.1342,0.9643
0.0009,0.9997,0.1269,0.9664
0.0005,0.9997,0.1372,0.9659
0.0006,0.9997,0.1440,0.9648
0.0004,1.0000,0.1522,0.9653
0.0004,0.9999,0.1323,0.9653
0.0002,0.9999,0.1500,0.9664
0.0003,1.0000,0.1394,0.9653
0.0001,1.0000,0.1471,0.9674
0.0001,1.0000,0.1538,0.9664
0.0001,1.0000,0.1508,0.9669
0.0003,0.9999,0.1608,0.9664
0.0001,1.0000,0.1734,0.9664
0.0003,0.9997,0.1551,0.9680
0.0001,1.0000,0.1707,0.9680
0.0000,1.0000,0.1713,0.9690
0.0002,1.0000,0.1625,0.9674
0.0000,1.0000,0.1657,0.9664
0.0001,1.0000,0.2049,0.9638
0.0001,1.0000,0.1735,0.9690
0.0001,1.0000,0.1792,0.9685
0.0003,0.9997,0.2279,0.9669
0.0004,0.9997,0.1752,0.9706
0.0003,0.9997,0.1636,0.9674
0.0000,1.0000,0.1698,0.9674
0.0000,1.0000,0.1869,0.9669
0.0000,1.0000,0.1888,0.9674
0.0000,1.0000,0.1888,0.9669
0.0000,1.0000,0.1947,0.9669
0.0005,0.9996,0.2155,0.9653
0.0000,1.0000,0.1856,0.9638
0.0001,1.0000,0.1707,0.9664
0.0000,1.0000,0.1933,0.9690
0.0000,1.0000,0.2022,0.9680
0.0000,1.0000,0.1981,0.9685
0.0000,1.0000,0.2062,0.9685
0.0000,1.0000,0.2070,0.9674
0.0000,1.0000,0.2206,0.9680
0.0000,1.0000,0.2239,0.9669
0.0000,1.0000,0.2258,0.9653
0.0000,1.0000,0.2231,0.9685
0.0000,1.0000,0.2383,0.9674
0.0000,1.0000,0.2415,0.9674
0.0000,1.0000,0.2383,0.9674
0.0000,1.0000,0.2315,0.9701
