train_loss,train_accuracy,valid_loss,valid_accuracy
0.1853,0.9191,0.1065,0.9512
0.0944,0.9624,0.0748,0.9695
0.0817,0.9646,0.0940,0.9638
0.0689,0.9701,0.0591,0.9727
0.0591,0.9739,0.0664,0.9706
0.0607,0.9719,0.0928,0.9564
0.0420,0.9803,0.0730,0.9743
0.0406,0.9800,0.0769,0.9737
0.0394,0.9796,0.0961,0.9690
0.0381,0.9815,0.0681,0.9743
0.0558,0.9766,0.0943,0.9737
0.0312,0.9848,0.0760,0.9690
0.0243,0.9866,0.0493,0.9764
0.0197,0.9885,0.0689,0.9758
0.0528,0.9787,0.0940,0.9685
0.0348,0.9833,0.0914,0.9638
0.0234,0.9874,0.0709,0.9758
0.0466,0.9799,0.1003,0.9716
0.0376,0.9841,0.0756,0.9722
0.0168,0.9906,0.0672,0.9743
0.0144,0.9921,0.0707,0.9758
0.0091,0.9944,0.0723,0.9785
0.0158,0.9922,0.0787,0.9764
0.0220,0.9883,0.0958,0.9706
0.0178,0.9899,0.1046,0.9727
0.0130,0.9938,0.1060,0.9653
0.0252,0.9889,0.0740,0.9732
0.0080,0.9953,0.0758,0.9716
0.0212,0.9927,0.0823,0.9753
0.0314,0.9882,0.0683,0.9764
0.0374,0.9875,0.0910,0.9701
0.0193,0.9925,0.0766,0.9695
0.0116,0.9939,0.0896,0.9737
0.0060,0.9973,0.0896,0.9727
0.0114,0.9958,0.0808,0.9758
0.0160,0.9915,0.0906,0.9711
0.0143,0.9933,0.0913,0.9743
0.0199,0.9913,0.0889,0.9706
0.0141,0.9939,0.0916,0.9711
0.0087,0.9958,0.0993,0.9732
0.0145,0.9915,0.1154,0.9643
0.0113,0.9949,0.1148,0.9716
0.0111,0.9959,0.0798,0.9753
0.0116,0.9949,0.1009,0.9695
0.0104,0.9947,0.1783,0.9627
0.0201,0.9920,0.1135,0.9638
0.0073,0.9972,0.1239,0.9695
0.0078,0.9967,0.1096,0.9722
0.0088,0.9949,0.0840,0.9764
0.0049,0.9966,0.0991,0.9748
0.0023,0.9985,0.1003,0.9743
0.0017,0.9990,0.0974,0.9758
0.0018,0.9989,0.0977,0.9748
0.0012,0.9992,0.0992,0.9743
0.0009,0.9995,0.1036,0.9732
0.0010,0.9995,0.1025,0.9732
0.0016,0.9989,0.1049,0.9748
0.0005,0.9999,0.0991,0.9764
0.0008,0.9995,0.0991,0.9779
0.0009,0.9994,0.1004,0.9764
0.0004,1.0000,0.0996,0.9769
0.0010,0.9996,0.1003,0.9758
0.0005,0.9996,0.0982,0.9769
0.0005,0.9997,0.1010,0.9764
0.0016,0.9986,0.1028,0.9716
0.0008,0.9995,0.1023,0.9753
0.0002,1.0000,0.1026,0.9753
0.0004,0.9999,0.1077,0.9758
0.0005,0.9999,0.1031,0.9785
0.0004,1.0000,0.1013,0.9779
0.0005,0.9995,0.1006,0.9790
0.0001,1.0000,0.1039,0.9800
0.0002,0.9999,0.1077,0.9779
0.0003,0.9999,0.1115,0.9785
0.0001,1.0000,0.1149,0.9785
0.0003,0.9999,0.1111,0.9774
0.0003,0.9997,0.1128,0.9769
0.0006,0.9997,0.1062,0.9774
0.0004,0.9997,0.1109,0.9800
0.0004,0.9999,0.1134,0.9785
0.0008,0.9996,0.1083,0.9800
0.0002,0.9999,0.1111,0.9800
0.0004,0.9995,0.1094,0.9795
0.0005,0.9994,0.1117,0.9795
0.0004,0.9996,0.1083,0.9806
0.0005,0.9997,0.1064,0.9785
0.0001,1.0000,0.1043,0.9790
0.0002,1.0000,0.1090,0.9800
0.0001,0.9999,0.1132,0.9785
0.0000,1.0000,0.1142,0.9795
0.0001,1.0000,0.1181,0.9806
0.0001,1.0000,0.1196,0.9800
0.0005,0.9997,0.1232,0.9800
0.0000,1.0000,0.1302,0.9779
0.0002,0.9999,0.1256,0.9790
0.0001,1.0000,0.1146,0.9806
0.0002,0.9997,0.1178,0.9806
0.0004,0.9996,0.1201,0.9779
0.0001,1.0000,0.1240,0.9774
0.0005,0.9997,0.1226,0.9764
