train_loss,train_accuracy,valid_loss,valid_accuracy
0.2150,0.9177,0.0987,0.9590
0.0943,0.9620,0.0790,0.9727
0.0818,0.9604,0.0983,0.9596
0.0787,0.9627,0.0771,0.9622
0.0511,0.9747,0.0491,0.9753
0.0432,0.9804,0.0815,0.9664
0.0637,0.9735,0.0521,0.9774
0.0653,0.9738,0.0756,0.9711
0.0366,0.9813,0.0778,0.9722
0.0343,0.9834,0.0760,0.9711
0.0268,0.9855,0.0820,0.9769
0.0396,0.9829,0.1629,0.9422
0.0477,0.9776,0.0892,0.9680
0.0351,0.9833,0.0796,0.9669
0.0218,0.9876,0.0774,0.9743
0.0452,0.9805,0.0884,0.9674
0.0223,0.9894,0.0754,0.9695
0.0168,0.9893,0.0788,0.9716
0.0136,0.9918,0.0909,0.9685
0.0220,0.9883,0.0821,0.9690
0.0342,0.9866,0.0948,0.9659
0.0414,0.9837,0.0796,0.9685
0.0192,0.9887,0.0562,0.9795
0.0241,0.9876,0.0793,0.9701
0.0165,0.9917,0.0667,0.9769
0.0112,0.9917,0.0844,0.9748
0.0110,0.9935,0.0940,0.9732
0.0430,0.9850,0.0794,0.9748
0.0233,0.9892,0.1146,0.9732
0.0177,0.9911,0.0860,0.9743
0.0197,0.9912,0.0891,0.9680
0.0084,0.9949,0.0847,0.9753
0.0041,0.9978,0.0950,0.9779
0.0077,0.9950,0.1099,0.9795
0.0172,0.9926,0.0566,0.9790
0.0356,0.9912,0.1635,0.9601
0.0426,0.9841,0.0693,0.9795
0.0116,0.9959,0.0950,0.9743
0.0186,0.9939,0.0750,0.9758
0.0086,0.9966,0.0799,0.9774
0.0131,0.9938,0.0729,0.9816
0.0095,0.9952,0.0999,0.9769
0.0067,0.9973,0.1127,0.9732
0.0315,0.9865,0.1145,0.9648
0.0121,0.9941,0.0863,0.9800
0.0049,0.9976,0.0972,0.9795
0.0072,0.9958,0.1002,0.9769
0.0017,0.9986,0.1010,0.9758
0.0014,0.9991,0.1156,0.9764
0.0101,0.9950,0.1401,0.9606
0.0117,0.9948,0.1020,0.9685
0.0052,0.9966,0.0977,0.9706
0.0041,0.9977,0.1071,0.9711
0.0023,0.9983,0.1066,0.9711
0.0030,0.9985,0.1108,0.9716
0.0022,0.9985,0.1065,0.9727
0.0033,0.9986,0.1037,0.9732
0.0025,0.9987,0.1007,0.9743
0.0022,0.9991,0.1036,0.9732
0.0022,0.9990,0.1003,0.9727
0.0015,0.9989,0.0955,0.9748
0.0010,0.9995,0.1004,0.9764
0.0009,0.9992,0.0967,0.9748
0.0008,0.9997,0.1049,0.9764
0.0006,0.9997,0.1035,0.9769
0.0004,1.0000,0.1030,0.9753
0.0007,0.9997,0.1143,0.9758
0.0011,0.9995,0.1032,0.9758
0.0005,0.9996,0.1077,0.9753
0.0009,0.9995,0.1140,0.9748
0.0006,0.9995,0.1123,0.9743
0.0004,0.9997,0.1006,0.9779
0.0004,0.9997,0.0999,0.9785
0.0006,0.9996,0.1098,0.9758
0.0003,0.9999,0.1122,0.9764
0.0004,0.9997,0.1214,0.9748
0.0002,0.9997,0.1060,0.9764
0.0005,0.9999,0.1191,0.9764
0.0002,0.9999,0.1152,0.9795
0.0004,0.9997,0.1258,0.9790
0.0008,0.9995,0.1207,0.9758
0.0003,0.9999,0.1218,0.9769
0.0004,0.9996,0.1126,0.9769
0.0029,0.9994,0.1278,0.9748
0.0009,0.9994,0.1120,0.9764
0.0006,0.9997,0.1135,0.9769
0.0009,0.9995,0.1276,0.9737
0.0010,0.9994,0.1176,0.9769
0.0002,1.0000,0.1152,0.9774
0.0001,0.9999,0.1136,0.9779
0.0007,0.9997,0.1014,0.9769
0.0001,0.9999,0.1049,0.9779
0.0002,0.9999,0.1254,0.9753
0.0005,0.9997,0.1169,0.9790
0.0004,0.9999,0.1135,0.9785
0.0002,1.0000,0.1152,0.9790
0.0005,0.9999,0.1173,0.9790
0.0002,0.9999,0.1237,0.9779
0.0002,0.9996,0.1317,0.9774
0.0002,0.9999,0.1223,0.9795
