train_loss,train_accuracy,valid_loss,valid_accuracy
0.2441,0.8911,0.1147,0.9527
0.1259,0.9361,0.0808,0.9585
0.1199,0.9407,0.1172,0.9412
0.1072,0.9471,0.0891,0.9601
0.0922,0.9581,0.0918,0.9548
0.0580,0.9689,0.0927,0.9611
0.0433,0.9749,0.0706,0.9606
0.0437,0.9769,0.1048,0.9548
0.0338,0.9795,0.0839,0.9674
0.1146,0.9499,0.0678,0.9643
0.0556,0.9715,0.0791,0.9601
0.0259,0.9845,0.0727,0.9622
0.0265,0.9845,0.1989,0.9286
0.0245,0.9860,0.1317,0.9554
0.0329,0.9857,0.1163,0.9580
0.0175,0.9907,0.0977,0.9664
0.0342,0.9826,0.0964,0.9569
0.0219,0.9882,0.1597,0.9506
0.0275,0.9850,0.1148,0.9601
0.0213,0.9882,0.0788,0.9669
0.0525,0.9789,0.1030,0.9480
0.0400,0.9806,0.1004,0.9449
0.0310,0.9838,0.1191,0.9575
0.0121,0.9935,0.0954,0.9617
0.0047,0.9962,0.1384,0.9653
0.0028,0.9978,0.1184,0.9617
0.0247,0.9885,0.1705,0.9464
0.0212,0.9906,0.1282,0.9585
0.0193,0.9916,0.0955,0.9590
0.0059,0.9962,0.0987,0.9669
0.0038,0.9980,0.1506,0.9606
0.0477,0.9824,0.0971,0.9638
0.0168,0.9911,0.0943,0.9611
0.0016,0.9992,0.1497,0.9580
0.0596,0.9738,0.0851,0.9632
0.0182,0.9912,0.2545,0.9438
0.0169,0.9913,0.1647,0.9496
0.0063,0.9972,0.1026,0.9659
0.0034,0.9980,0.1246,0.9596
0.0098,0.9954,0.1714,0.9590
0.0232,0.9893,0.1222,0.9569
0.0013,0.9996,0.1437,0.9622
0.0103,0.9981,0.1876,0.9496
0.0297,0.9865,0.1275,0.9475
0.0134,0.9930,0.1254,0.9538
0.0407,0.9834,0.1237,0.9554
0.0070,0.9959,0.1256,0.9617
0.0099,0.9934,0.1232,0.9617
0.0014,0.9992,0.1985,0.9643
0.0132,0.9940,0.1199,0.9638
0.0060,0.9977,0.0985,0.9638
0.0028,0.9987,0.1106,0.9638
0.0012,0.9996,0.1129,0.9627
0.0009,0.9999,0.1183,0.9638
0.0008,0.9996,0.1306,0.9648
0.0006,0.9999,0.1287,0.9659
0.0004,0.9999,0.1389,0.9669
0.0006,0.9997,0.1533,0.9632
0.0003,1.0000,0.1482,0.9643
0.0006,0.9997,0.1418,0.9643
0.0004,0.9999,0.1459,0.9643
0.0001,1.0000,0.1548,0.9653
0.0003,0.9999,0.1580,0.9664
0.0001,1.0000,0.1667,0.9648
0.0003,0.9999,0.2064,0.9653
0.0002,0.9999,0.1840,0.9638
0.0004,0.9997,0.2100,0.9643
0.0002,0.9997,0.1872,0.9669
0.0001,1.0000,0.1962,0.9659
0.0001,0.9999,0.2188,0.9664
0.0001,1.0000,0.2265,0.9659
0.0002,0.9999,0.1881,0.9643
0.0002,0.9999,0.1959,0.9659
0.0000,1.0000,0.2018,0.9659
0.0000,1.0000,0.2056,0.9659
0.0002,0.9997,0.2227,0.9617
0.0001,1.0000,0.1939,0.9643
0.0000,1.0000,0.2012,0.9643
0.0000,1.0000,0.2194,0.9648
0.0001,1.0000,0.2212,0.9643
0.0003,0.9996,0.2420,0.9653
0.0001,0.9999,0.2327,0.9643
0.0005,0.9999,0.2188,0.9653
0.0000,1.0000,0.2225,0.9653
0.0000,1.0000,0.2240,0.9653
0.0002,0.9999,0.2186,0.9653
0.0000,1.0000,0.2223,0.9643
0.0000,1.0000,0.2244,0.9643
0.0003,0.9996,0.2645,0.9632
0.0006,0.9992,0.3016,0.9627
0.0002,0.9999,0.3054,0.9611
0.0001,0.9999,0.2449,0.9611
0.0000,1.0000,0.2639,0.9648
0.0000,1.0000,0.2514,0.9622
0.0000,1.0000,0.2529,0.9627
0.0000,1.0000,0.2531,0.9627
0.0002,0.9999,0.2557,0.9617
0.0000,1.0000,0.2575,0.9627
0.0000,1.0000,0.2619,0.9622
0.0000,1.0000,0.2616,0.9627
