train_loss,train_accuracy,valid_loss,valid_accuracy
0.1595,0.9330,0.1323,0.9438
0.2140,0.9238,0.1240,0.9580
0.1033,0.9613,0.1251,0.9491
0.0847,0.9665,0.1050,0.9680
0.0566,0.9758,0.0738,0.9764
0.0556,0.9762,0.0508,0.9821
0.0423,0.9794,0.0497,0.9821
0.0509,0.9796,0.0815,0.9716
0.0524,0.9790,0.0827,0.9701
0.0501,0.9768,0.0507,0.9774
0.0468,0.9813,0.0569,0.9811
0.0398,0.9828,0.0658,0.9785
0.0364,0.9831,0.0583,0.9779
0.0238,0.9894,0.0614,0.9795
0.0238,0.9890,0.0602,0.9848
0.0757,0.9702,0.0627,0.9711
0.0386,0.9836,0.0455,0.9832
0.0340,0.9846,0.0441,0.9837
0.0266,0.9883,0.0728,0.9722
0.0260,0.9875,0.0588,0.9816
0.0374,0.9855,0.0518,0.9806
0.0243,0.9864,0.0539,0.9800
0.0248,0.9879,0.0477,0.9832
0.0287,0.9852,0.0489,0.9816
0.0256,0.9875,0.0467,0.9795
0.0266,0.9892,0.0590,0.9779
0.0159,0.9941,0.0448,0.9827
0.0322,0.9856,0.0674,0.9774
0.0442,0.9815,0.0582,0.9785
0.0419,0.9818,0.0509,0.9863
0.0174,0.9924,0.0616,0.9832
0.0236,0.9890,0.0568,0.9800
0.0146,0.9915,0.0609,0.9858
0.0128,0.9938,0.0835,0.9811
0.0447,0.9806,0.0513,0.9821
0.0233,0.9910,0.0833,0.9722
0.0434,0.9847,0.0693,0.9795
0.0196,0.9904,0.0619,0.9795
0.0140,0.9940,0.0541,0.9853
0.0082,0.9954,0.0804,0.9837
0.0076,0.9962,0.0498,0.9858
0.1064,0.9707,0.1006,0.9674
0.0325,0.9848,0.0644,0.9816
0.0190,0.9918,0.0419,0.9858
0.0103,0.9955,0.0768,0.9764
0.0087,0.9953,0.0538,0.9879
0.0083,0.9953,0.0614,0.9832
0.0055,0.9969,0.0791,0.9842
0.0035,0.9981,0.1013,0.9806
0.0198,0.9922,0.1334,0.9669
0.0222,0.9925,0.0663,0.9848
0.0062,0.9971,0.0668,0.9858
0.0065,0.9967,0.0648,0.9848
0.0029,0.9982,0.0648,0.9858
0.0037,0.9982,0.0659,0.9848
0.0036,0.9975,0.0626,0.9848
0.0039,0.9973,0.0624,0.9863
0.0034,0.9980,0.0657,0.9848
0.0027,0.9989,0.0647,0.9842
0.0020,0.9987,0.0646,0.9858
0.0016,0.9990,0.0596,0.9863
0.0009,0.9996,0.0672,0.9863
0.0014,0.9987,0.0615,0.9858
0.0025,0.9989,0.0687,0.9869
0.0021,0.9986,0.0634,0.9848
0.0016,0.9990,0.0654,0.9863
0.0010,0.9995,0.0718,0.9869
0.0010,0.9994,0.0734,0.9863
0.0006,0.9997,0.0668,0.9895
0.0006,0.9997,0.0673,0.9895
0.0015,0.9992,0.0718,0.9890
0.0010,0.9992,0.0776,0.9874
0.0012,0.9992,0.0728,0.9848
0.0015,0.9995,0.0845,0.9837
0.0009,0.9992,0.0752,0.9858
0.0016,0.9991,0.0727,0.9879
0.0005,0.9996,0.0814,0.9848
0.0006,0.9995,0.0786,0.9869
0.0004,0.9999,0.0796,0.9874
0.0003,0.9999,0.0811,0.9895
0.0012,0.9992,0.0771,0.9884
0.0007,0.9995,0.0762,0.9879
0.0002,1.0000,0.0833,0.9884
0.0010,0.9994,0.0774,0.9874
0.0013,0.9992,0.0823,0.9853
0.0010,0.9995,0.0803,0.9858
0.0003,0.9997,0.0859,0.9858
0.0009,0.9995,0.0854,0.9858
0.0006,0.9995,0.0931,0.9848
0.0008,0.9995,0.0848,0.9863
0.0005,0.9999,0.0894,0.9842
0.0007,0.9995,0.0806,0.9879
0.0002,0.9999,0.0843,0.9874
0.0006,0.9997,0.0910,0.9863
0.0002,0.9997,0.0927,0.9879
0.0007,0.9997,0.0832,0.9879
0.0002,0.9997,0.0925,0.9869
0.0002,1.0000,0.0888,0.9869
0.0002,0.9999,0.0920,0.9879
0.0009,0.9996,0.1067,0.9879
