train_loss,train_accuracy,valid_loss,valid_accuracy
0.1809,0.9254,0.1162,0.9580
0.1118,0.9561,0.0689,0.9732
0.0720,0.9715,0.0760,0.9743
0.0846,0.9652,0.0712,0.9732
0.0742,0.9716,0.0831,0.9737
0.0591,0.9772,0.0903,0.9722
0.0612,0.9747,0.0424,0.9816
0.0630,0.9703,0.0517,0.9806
0.0405,0.9822,0.0410,0.9842
0.0602,0.9775,0.1131,0.9653
0.0470,0.9806,0.0529,0.9806
0.0362,0.9838,0.0559,0.9769
0.0389,0.9822,0.0475,0.9811
0.0369,0.9829,0.0586,0.9758
0.0355,0.9865,0.0540,0.9790
0.0252,0.9884,0.0413,0.9842
0.0297,0.9873,0.0782,0.9722
0.0432,0.9847,0.0756,0.9711
0.0367,0.9838,0.0744,0.9764
0.0278,0.9865,0.1492,0.9617
0.0249,0.9897,0.0491,0.9816
0.0263,0.9890,0.0665,0.9785
0.0246,0.9889,0.0541,0.9832
0.0286,0.9889,0.0642,0.9795
0.0267,0.9882,0.1112,0.9816
0.0621,0.9771,0.0534,0.9790
0.0218,0.9904,0.0329,0.9853
0.0196,0.9894,0.0475,0.9863
0.0158,0.9924,0.0548,0.9779
0.0142,0.9934,0.0964,0.9664
0.0223,0.9888,0.0642,0.9785
0.0123,0.9935,0.0538,0.9821
0.0139,0.9925,0.0485,0.9832
0.0346,0.9865,0.0561,0.9806
0.0275,0.9890,0.0692,0.9790
0.0127,0.9929,0.0687,0.9779
0.0252,0.9915,0.0547,0.9842
0.0209,0.9907,0.0558,0.9827
0.0196,0.9897,0.0495,0.9848
0.0093,0.9957,0.0497,0.9837
0.0211,0.9908,0.0685,0.9811
0.0180,0.9924,0.0363,0.9890
0.0125,0.9939,0.0439,0.9869
0.0217,0.9930,0.0554,0.9837
0.0187,0.9929,0.0511,0.9890
0.0211,0.9907,0.0360,0.9874
0.0133,0.9936,0.0372,0.9848
0.0092,0.9964,0.1074,0.9779
0.0144,0.9944,0.0602,0.9848
0.0195,0.9921,0.1080,0.9722
0.0149,0.9945,0.0655,0.9816
0.0083,0.9959,0.0560,0.9842
0.0054,0.9972,0.0568,0.9842
0.0072,0.9967,0.0572,0.9837
0.0043,0.9975,0.0595,0.9842
0.0038,0.9982,0.0559,0.9832
0.0022,0.9989,0.0583,0.9842
0.0028,0.9983,0.0578,0.9848
0.0023,0.9983,0.0621,0.9858
0.0036,0.9985,0.0563,0.9858
0.0023,0.9987,0.0626,0.9863
0.0016,0.9990,0.0609,0.9858
0.0014,0.9989,0.0615,0.9863
0.0014,0.9992,0.0678,0.9863
0.0011,0.9994,0.0676,0.9869
0.0013,0.9987,0.0667,0.9858
0.0009,0.9996,0.0713,0.9853
0.0010,0.9990,0.0794,0.9853
0.0010,0.9994,0.0823,0.9863
0.0013,0.9989,0.0740,0.9863
0.0014,0.9990,0.0797,0.9869
0.0021,0.9990,0.0820,0.9879
0.0007,0.9995,0.0708,0.9884
0.0008,0.9995,0.0700,0.9895
0.0009,0.9994,0.0717,0.9890
0.0003,1.0000,0.0775,0.9890
0.0004,0.9999,0.0645,0.9900
0.0003,0.9999,0.0731,0.9895
0.0005,0.9999,0.0801,0.9890
0.0005,0.9999,0.0789,0.9874
0.0002,0.9999,0.0754,0.9879
0.0002,1.0000,0.0776,0.9869
0.0004,0.9999,0.0834,0.9884
0.0008,0.9994,0.0749,0.9874
0.0002,1.0000,0.0835,0.9879
0.0005,0.9994,0.0872,0.9863
0.0004,0.9996,0.1004,0.9853
0.0010,0.9992,0.0875,0.9853
0.0005,0.9997,0.0765,0.9879
0.0011,0.9994,0.0951,0.9890
0.0008,0.9995,0.0938,0.9869
0.0012,0.9992,0.0913,0.9884
0.0003,0.9996,0.0874,0.9890
0.0002,0.9997,0.0918,0.9890
0.0002,0.9999,0.0967,0.9879
0.0008,0.9997,0.1013,0.9858
0.0003,0.9997,0.0862,0.9884
0.0001,0.9999,0.1039,0.9858
0.0005,0.9995,0.1038,0.9863
0.0004,0.9997,0.0941,0.9869
