train_loss,train_accuracy,valid_loss,valid_accuracy
0.3248,0.8500,0.1167,0.9491
0.1613,0.9308,0.1480,0.9307
0.1117,0.9470,0.1383,0.9286
0.0944,0.9585,0.1125,0.9464
0.0769,0.9600,0.1232,0.9454
0.0601,0.9684,0.1032,0.9485
0.0514,0.9766,0.1098,0.9512
0.0320,0.9832,0.0883,0.9664
0.0585,0.9702,0.1182,0.9569
0.0270,0.9841,0.0972,0.9590
0.0267,0.9868,0.0805,0.9680
0.0350,0.9822,0.0838,0.9580
0.0207,0.9899,0.1061,0.9575
0.0059,0.9964,0.1094,0.9554
0.0116,0.9925,0.2872,0.9223
0.0175,0.9918,0.1153,0.9480
0.0196,0.9883,0.1211,0.9638
0.0299,0.9866,0.1277,0.9559
0.0074,0.9961,0.1421,0.9575
0.0040,0.9976,0.1185,0.9606
0.0094,0.9959,0.2801,0.9055
0.0174,0.9930,0.1217,0.9533
0.0031,0.9985,0.1320,0.9606
0.0119,0.9939,0.1855,0.9485
0.0209,0.9899,0.1995,0.9407
0.0061,0.9973,0.1691,0.9601
0.0058,0.9973,0.1620,0.9569
0.0282,0.9893,0.1615,0.9617
0.0143,0.9940,0.1292,0.9338
0.0276,0.9887,0.1521,0.9475
0.0056,0.9973,0.1603,0.9564
0.0053,0.9967,0.1477,0.9585
0.0008,0.9995,0.1878,0.9564
0.0001,1.0000,0.1947,0.9590
0.0027,0.9985,0.1444,0.9638
0.0011,0.9995,0.2132,0.9606
0.0363,0.9860,0.1261,0.9611
0.0187,0.9936,0.1306,0.9548
0.0209,0.9913,0.1061,0.9617
0.0063,0.9978,0.1698,0.9580
0.0005,0.9997,0.2497,0.9554
0.0048,0.9977,0.2052,0.9564
0.0241,0.9921,0.1298,0.9538
0.0142,0.9931,0.1176,0.9538
0.0064,0.9975,0.1454,0.9559
0.0010,0.9997,0.2494,0.9580
0.0006,0.9995,0.3107,0.9512
0.0081,0.9962,0.1727,0.9606
0.0003,0.9999,0.2356,0.9611
0.0252,0.9920,0.2212,0.9459
0.0075,0.9978,0.1986,0.9543
0.0022,0.9990,0.1877,0.9543
0.0010,0.9997,0.2096,0.9538
0.0006,0.9997,0.2339,0.9548
0.0004,1.0000,0.2280,0.9548
0.0003,0.9999,0.2389,0.9554
0.0005,0.9999,0.2647,0.9548
0.0003,0.9999,0.2451,0.9564
0.0001,1.0000,0.2594,0.9575
0.0003,0.9999,0.3036,0.9527
0.0001,1.0000,0.3062,0.9548
0.0001,1.0000,0.3157,0.9554
0.0001,1.0000,0.3440,0.9543
0.0005,0.9997,0.3186,0.9559
0.0000,1.0000,0.3419,0.9559
0.0000,1.0000,0.3566,0.9559
0.0000,1.0000,0.3672,0.9554
0.0000,1.0000,0.3841,0.9554
0.0000,1.0000,0.3973,0.9559
0.0000,0.9999,0.4258,0.9559
0.0000,1.0000,0.4433,0.9559
0.0000,1.0000,0.4476,0.9559
0.0001,0.9999,0.4457,0.9580
0.0000,1.0000,0.4382,0.9580
0.0000,1.0000,0.4341,0.9564
0.0000,1.0000,0.4372,0.9564
0.0000,1.0000,0.4403,0.9564
0.0014,0.9995,0.3385,0.9575
0.0001,1.0000,0.3688,0.9580
0.0000,1.0000,0.3711,0.9580
0.0000,1.0000,0.3949,0.9580
0.0001,0.9999,0.3523,0.9575
0.0002,0.9999,0.4216,0.9590
0.0000,1.0000,0.4139,0.9590
0.0006,0.9997,0.3590,0.9590
0.0000,1.0000,0.3712,0.9596
0.0000,1.0000,0.4471,0.9554
0.0000,1.0000,0.4182,0.9606
0.0000,1.0000,0.4092,0.9611
0.0001,0.9999,0.4002,0.9580
0.0000,1.0000,0.4147,0.9580
0.0003,0.9999,0.4081,0.9580
0.0000,1.0000,0.4608,0.9554
0.0000,1.0000,0.4419,0.9554
0.0001,1.0000,0.3697,0.9559
0.0001,0.9999,0.6004,0.9527
0.0000,1.0000,0.5369,0.9564
0.0000,1.0000,0.5270,0.9559
0.0000,1.0000,0.5265,0.9559
0.0000,1.0000,0.5110,0.9569
