train_loss,train_accuracy,valid_loss,valid_accuracy
0.2652,0.8839,0.0970,0.9517
0.1297,0.9407,0.0767,0.9632
0.1175,0.9405,0.0970,0.9501
0.0692,0.9629,0.2436,0.9280
0.0744,0.9623,0.0666,0.9669
0.0678,0.9646,0.0884,0.9585
0.0528,0.9699,0.1130,0.9517
0.0549,0.9752,0.1246,0.9501
0.0594,0.9706,0.0848,0.9590
0.0434,0.9777,0.1389,0.9449
0.0669,0.9671,0.0707,0.9659
0.0331,0.9819,0.0910,0.9659
0.0237,0.9857,0.1063,0.9617
0.0133,0.9911,0.0775,0.9706
0.0258,0.9857,0.0910,0.9611
0.0385,0.9803,0.1051,0.9517
0.0226,0.9868,0.1053,0.9638
0.0171,0.9901,0.0827,0.9653
0.0207,0.9887,0.0745,0.9685
0.0245,0.9879,0.1066,0.9438
0.0284,0.9841,0.2421,0.9370
0.0537,0.9713,0.0999,0.9601
0.0556,0.9777,0.1594,0.9506
0.0417,0.9820,0.0842,0.9622
0.0093,0.9959,0.0773,0.9706
0.0050,0.9969,0.1011,0.9711
0.0066,0.9964,0.2927,0.9317
0.0176,0.9924,0.0873,0.9659
0.0087,0.9948,0.0958,0.9690
0.0061,0.9963,0.1561,0.9569
0.0141,0.9916,0.1128,0.9674
0.0200,0.9896,0.1143,0.9554
0.0504,0.9758,0.2694,0.9548
0.0232,0.9897,0.0961,0.9669
0.0218,0.9907,0.0824,0.9685
0.0036,0.9982,0.1030,0.9669
0.0025,0.9985,0.0929,0.9680
0.0005,0.9997,0.1307,0.9701
0.0179,0.9925,0.1090,0.9622
0.0220,0.9904,0.0755,0.9643
0.0197,0.9933,0.1184,0.9664
0.0124,0.9936,0.1034,0.9680
0.0033,0.9982,0.0933,0.9690
0.0003,0.9999,0.1528,0.9669
0.0202,0.9921,0.1034,0.9585
0.0071,0.9966,0.0896,0.9674
0.0092,0.9950,0.1107,0.9674
0.0033,0.9983,0.1548,0.9632
0.0135,0.9938,0.0889,0.9622
0.0113,0.9940,0.0951,0.9727
0.0013,0.9997,0.0880,0.9737
0.0004,0.9999,0.0941,0.9727
0.0007,0.9996,0.0969,0.9753
0.0004,0.9999,0.0936,0.9743
0.0002,1.0000,0.0962,0.9743
0.0002,1.0000,0.1020,0.9743
0.0001,1.0000,0.1044,0.9748
0.0001,1.0000,0.1061,0.9748
0.0001,0.9999,0.1141,0.9706
0.0001,1.0000,0.1145,0.9711
0.0002,0.9999,0.1226,0.9669
0.0001,0.9999,0.1149,0.9748
0.0000,1.0000,0.1181,0.9732
0.0002,0.9999,0.1280,0.9690
0.0000,1.0000,0.1276,0.9701
0.0000,1.0000,0.1312,0.9701
0.0000,1.0000,0.1373,0.9695
0.0001,1.0000,0.1402,0.9753
0.0000,1.0000,0.1449,0.9727
0.0000,1.0000,0.1469,0.9732
0.0000,1.0000,0.1514,0.9722
0.0000,1.0000,0.1540,0.9727
0.0000,1.0000,0.1570,0.9722
0.0000,1.0000,0.1589,0.9727
0.0000,1.0000,0.1596,0.9737
0.0000,1.0000,0.1619,0.9722
0.0000,1.0000,0.1657,0.9722
0.0000,1.0000,0.1714,0.9727
0.0000,1.0000,0.1759,0.9695
0.0000,1.0000,0.1771,0.9711
0.0004,0.9997,0.1816,0.9680
0.0002,0.9999,0.2291,0.9632
0.0004,0.9999,0.1753,0.9638
0.0003,0.9999,0.1893,0.9727
0.0001,0.9999,0.1863,0.9737
0.0000,1.0000,0.1899,0.9722
0.0000,1.0000,0.1943,0.9711
0.0001,0.9999,0.1936,0.9732
0.0001,1.0000,0.2036,0.9737
0.0000,1.0000,0.2078,0.9706
0.0000,1.0000,0.2093,0.9711
0.0000,1.0000,0.2109,0.9701
0.0000,1.0000,0.2113,0.9690
0.0000,1.0000,0.2039,0.9732
0.0001,1.0000,0.2230,0.9638
0.0000,1.0000,0.2228,0.9685
0.0001,0.9999,0.2276,0.9701
0.0011,0.9997,0.2226,0.9695
0.0004,0.9999,0.2047,0.9701
0.0002,0.9999,0.2892,0.9575
