train_loss,train_accuracy,valid_loss,valid_accuracy
0.3721,0.8370,0.3190,0.8550
0.2407,0.8944,0.1727,0.9244
0.1731,0.9260,0.1218,0.9491
0.1669,0.9268,0.1315,0.9496
0.1664,0.9265,0.1180,0.9512
0.1227,0.9452,0.1220,0.9569
0.1076,0.9502,0.0948,0.9653
0.1161,0.9491,0.1075,0.9575
0.0874,0.9614,0.0767,0.9716
0.0851,0.9595,0.0909,0.9695
0.0823,0.9622,0.0681,0.9695
0.0623,0.9680,0.0783,0.9716
0.0803,0.9645,0.0849,0.9659
0.0611,0.9693,0.1025,0.9569
0.1193,0.9442,0.1015,0.9617
0.0556,0.9747,0.0915,0.9632
0.0516,0.9747,0.0714,0.9753
0.0526,0.9727,0.0939,0.9638
0.0571,0.9741,0.0727,0.9743
0.0491,0.9733,0.0937,0.9653
0.0586,0.9722,0.0893,0.9664
0.0406,0.9806,0.0772,0.9711
0.0517,0.9781,0.0658,0.9743
0.0376,0.9781,0.0837,0.9664
0.0652,0.9708,0.0763,0.9659
0.0614,0.9726,0.1223,0.9611
0.0544,0.9755,0.0621,0.9753
0.0292,0.9854,0.0759,0.9664
0.0453,0.9790,0.0660,0.9701
0.0421,0.9805,0.0683,0.9743
0.0373,0.9831,0.0920,0.9653
0.0363,0.9795,0.0835,0.9638
0.0290,0.9856,0.0799,0.9690
0.0289,0.9831,0.0619,0.9737
0.0494,0.9761,0.0768,0.9764
0.0166,0.9890,0.0572,0.9774
0.0724,0.9634,0.0626,0.9743
0.0537,0.9777,0.0683,0.9774
0.0280,0.9842,0.0596,0.9737
0.0248,0.9869,0.0934,0.9685
0.0255,0.9848,0.0704,0.9701
0.0288,0.9861,0.0701,0.9716
0.0273,0.9866,0.0952,0.9580
0.0299,0.9840,0.0724,0.9748
0.0406,0.9827,0.0698,0.9727
0.0436,0.9769,0.0720,0.9701
0.0266,0.9864,0.0597,0.9779
0.0245,0.9879,0.0540,0.9785
0.0236,0.9870,0.0513,0.9816
0.0213,0.9894,0.0956,0.9727
0.0149,0.9907,0.0781,0.9737
0.0119,0.9934,0.0638,0.9779
0.0084,0.9947,0.0642,0.9774
0.0081,0.9953,0.0664,0.9779
0.0061,0.9963,0.0630,0.9800
0.0082,0.9952,0.0631,0.9785
0.0047,0.9976,0.0686,0.9779
0.0050,0.9977,0.0667,0.9800
0.0043,0.9976,0.0697,0.9795
0.0048,0.9972,0.0659,0.9795
0.0041,0.9972,0.0689,0.9795
0.0030,0.9978,0.0670,0.9800
0.0041,0.9981,0.0822,0.9769
0.0037,0.9976,0.0652,0.9785
0.0035,0.9981,0.0704,0.9790
0.0037,0.9982,0.0722,0.9806
0.0028,0.9982,0.0772,0.9790
0.0032,0.9982,0.0742,0.9774
0.0020,0.9990,0.0764,0.9774
0.0014,0.9991,0.0758,0.9769
0.0020,0.9989,0.0884,0.9785
0.0017,0.9991,0.0952,0.9779
0.0019,0.9987,0.0838,0.9785
0.0028,0.9978,0.0818,0.9774
0.0026,0.9982,0.0761,0.9800
0.0021,0.9991,0.0726,0.9811
0.0026,0.9983,0.0667,0.9790
0.0011,0.9992,0.0718,0.9785
0.0018,0.9995,0.0717,0.9790
0.0012,0.9996,0.0675,0.9790
0.0017,0.9990,0.0754,0.9795
0.0018,0.9986,0.0977,0.9764
0.0012,0.9994,0.0838,0.9795
0.0007,0.9995,0.0853,0.9790
0.0013,0.9992,0.0988,0.9769
0.0011,0.9990,0.0919,0.9806
0.0006,0.9995,0.1019,0.9774
0.0023,0.9987,0.0897,0.9806
0.0012,0.9994,0.0990,0.9800
0.0022,0.9985,0.0941,0.9748
0.0037,0.9989,0.0733,0.9758
0.0011,0.9992,0.0737,0.9795
0.0012,0.9994,0.0898,0.9764
0.0007,0.9996,0.0902,0.9769
0.0013,0.9991,0.0789,0.9774
0.0010,0.9994,0.0754,0.9795
0.0008,0.9996,0.1000,0.9764
0.0003,0.9999,0.0950,0.9769
0.0028,0.9981,0.0845,0.9779
0.0006,0.9996,0.0985,0.9795
