train_loss,train_accuracy,valid_loss,valid_accuracy
0.4542,0.7811,0.2768,0.8708
0.2340,0.8967,0.1800,0.9244
0.1924,0.9110,0.1281,0.9428
0.1693,0.9242,0.1373,0.9380
0.1389,0.9381,0.1008,0.9575
0.1233,0.9485,0.2049,0.9055
0.1279,0.9436,0.1016,0.9580
0.2754,0.8901,0.1647,0.9349
0.1499,0.9380,0.1391,0.9375
0.1065,0.9544,0.0902,0.9643
0.0794,0.9614,0.0876,0.9606
0.0991,0.9553,0.0882,0.9653
0.0773,0.9629,0.0923,0.9632
0.0959,0.9580,0.0830,0.9659
0.0803,0.9637,0.1252,0.9501
0.0733,0.9678,0.0634,0.9716
0.0584,0.9719,0.0588,0.9779
0.0729,0.9642,0.0696,0.9737
0.0613,0.9710,0.1382,0.9380
0.0586,0.9717,0.0633,0.9711
0.0583,0.9726,0.0630,0.9732
0.0478,0.9739,0.0619,0.9706
0.0500,0.9753,0.0521,0.9774
0.0547,0.9711,0.0970,0.9575
0.0602,0.9697,0.0587,0.9737
0.0481,0.9772,0.0906,0.9643
0.0370,0.9828,0.1427,0.9527
0.0403,0.9791,0.0652,0.9753
0.0463,0.9772,0.0816,0.9674
0.0586,0.9749,0.0666,0.9732
0.0442,0.9776,0.0626,0.9743
0.0329,0.9828,0.1124,0.9664
0.0315,0.9832,0.0588,0.9706
0.0418,0.9810,0.1273,0.9522
0.0425,0.9782,0.0710,0.9753
0.0240,0.9855,0.0577,0.9748
0.0418,0.9796,0.0963,0.9701
0.0462,0.9789,0.1181,0.9617
0.0355,0.9827,0.0825,0.9701
0.0691,0.9696,0.0850,0.9622
0.0427,0.9806,0.0875,0.9711
0.0227,0.9876,0.0806,0.9764
0.0371,0.9834,0.0777,0.9722
0.0346,0.9834,0.0818,0.9722
0.0278,0.9855,0.0804,0.9764
0.0334,0.9837,0.0962,0.9617
0.0235,0.9874,0.0750,0.9716
0.0323,0.9834,0.0732,0.9743
0.0319,0.9829,0.0612,0.9790
0.0296,0.9860,0.0758,0.9748
0.0159,0.9899,0.0638,0.9790
0.0129,0.9917,0.0616,0.9779
0.0132,0.9918,0.0586,0.9795
0.0094,0.9959,0.0656,0.9790
0.0099,0.9936,0.0603,0.9795
0.0074,0.9958,0.0608,0.9811
0.0071,0.9959,0.0612,0.9774
0.0075,0.9957,0.0616,0.9816
0.0075,0.9944,0.0674,0.9785
0.0055,0.9961,0.0620,0.9821
0.0055,0.9968,0.0620,0.9837
0.0051,0.9959,0.0592,0.9837
0.0051,0.9969,0.0685,0.9795
0.0041,0.9972,0.0654,0.9821
0.0033,0.9980,0.0637,0.9832
0.0044,0.9973,0.0637,0.9848
0.0028,0.9986,0.0642,0.9821
0.0043,0.9971,0.0621,0.9832
0.0030,0.9981,0.0714,0.9816
0.0037,0.9977,0.0807,0.9816
0.0056,0.9967,0.0620,0.9816
0.0021,0.9990,0.0759,0.9806
0.0026,0.9980,0.0723,0.9806
0.0022,0.9987,0.0691,0.9795
0.0035,0.9985,0.0712,0.9811
0.0038,0.9980,0.0674,0.9827
0.0015,0.9987,0.0815,0.9795
0.0027,0.9978,0.0758,0.9795
0.0024,0.9982,0.0779,0.9811
0.0020,0.9981,0.0794,0.9795
0.0014,0.9985,0.0787,0.9806
0.0023,0.9989,0.0746,0.9795
0.0013,0.9991,0.0770,0.9800
0.0024,0.9983,0.0822,0.9800
0.0030,0.9989,0.0840,0.9806
0.0021,0.9987,0.0779,0.9795
0.0015,0.9987,0.0660,0.9827
0.0033,0.9982,0.0742,0.9832
0.0021,0.9989,0.0770,0.9811
0.0009,0.9999,0.0801,0.9821
0.0007,0.9997,0.0785,0.9816
0.0026,0.9986,0.0909,0.9795
0.0014,0.9991,0.0801,0.9811
0.0031,0.9987,0.0797,0.9821
0.0023,0.9989,0.0801,0.9806
0.0036,0.9981,0.0781,0.9816
0.0015,0.9991,0.0841,0.9827
0.0017,0.9990,0.0864,0.9832
0.0015,0.9994,0.0836,0.9827
0.0010,0.9990,0.0862,0.9827
