train_loss,train_accuracy,valid_loss,valid_accuracy
0.1663,0.9320,0.0694,0.9716
0.0912,0.9614,0.1504,0.9443
0.0958,0.9559,0.0661,0.9711
0.0540,0.9721,0.0538,0.9758
0.0400,0.9781,0.0511,0.9764
0.0350,0.9815,0.0933,0.9648
0.0756,0.9711,0.0524,0.9785
0.0401,0.9786,0.0541,0.9764
0.0294,0.9861,0.0612,0.9722
0.0378,0.9829,0.0628,0.9764
0.0213,0.9868,0.0477,0.9816
0.0313,0.9861,0.0823,0.9669
0.0389,0.9852,0.0634,0.9790
0.0356,0.9834,0.0635,0.9743
0.0209,0.9906,0.0526,0.9806
0.0256,0.9890,0.0795,0.9753
0.0213,0.9878,0.0565,0.9837
0.0216,0.9894,0.0475,0.9832
0.0134,0.9926,0.0936,0.9727
0.0258,0.9883,0.0588,0.9795
0.0307,0.9878,0.0746,0.9743
0.0277,0.9898,0.0709,0.9764
0.0142,0.9920,0.0639,0.9827
0.0104,0.9945,0.0641,0.9842
0.0084,0.9953,0.0663,0.9795
0.0240,0.9904,0.0832,0.9821
0.0095,0.9941,0.0678,0.9816
0.0334,0.9840,0.0762,0.9727
0.0220,0.9907,0.0669,0.9806
0.0092,0.9961,0.0596,0.9837
0.0181,0.9934,0.1222,0.9769
0.0238,0.9917,0.0610,0.9732
0.0190,0.9920,0.0806,0.9790
0.0175,0.9933,0.0601,0.9827
0.0071,0.9973,0.0654,0.9821
0.0029,0.9980,0.0520,0.9853
0.0086,0.9966,0.0730,0.9769
0.0179,0.9926,0.0594,0.9800
0.0082,0.9954,0.0505,0.9832
0.0063,0.9966,0.0705,0.9821
0.0029,0.9980,0.1020,0.9806
0.0074,0.9964,0.0670,0.9785
0.0065,0.9963,0.0532,0.9827
0.0041,0.9982,0.0972,0.9774
0.0537,0.9808,0.1114,0.9664
0.0265,0.9908,0.0447,0.9827
0.0084,0.9961,0.0630,0.9816
0.0067,0.9969,0.0773,0.9774
0.0050,0.9977,0.0600,0.9821
0.0059,0.9975,0.0673,0.9811
0.0024,0.9992,0.0617,0.9827
0.0015,0.9991,0.0610,0.9837
0.0013,0.9992,0.0633,0.9858
0.0011,0.9994,0.0663,0.9848
0.0007,0.9997,0.0709,0.9853
0.0007,0.9995,0.0683,0.9842
0.0012,0.9995,0.0678,0.9848
0.0007,0.9997,0.0678,0.9848
0.0005,1.0000,0.0708,0.9848
0.0004,1.0000,0.0754,0.9853
0.0004,0.9999,0.0752,0.9848
0.0004,0.9999,0.0745,0.9842
0.0003,1.0000,0.0751,0.9848
0.0005,0.9999,0.0779,0.9842
0.0005,0.9997,0.0742,0.9842
0.0006,0.9996,0.0729,0.9853
0.0003,0.9999,0.0734,0.9853
0.0003,0.9999,0.0679,0.9853
0.0007,0.9996,0.0704,0.9842
0.0002,0.9999,0.0747,0.9842
0.0003,0.9999,0.0787,0.9842
0.0003,0.9999,0.0845,0.9827
0.0013,0.9997,0.0795,0.9842
0.0003,1.0000,0.0784,0.9832
0.0001,1.0000,0.0788,0.9832
0.0003,0.9999,0.0803,0.9842
0.0002,0.9999,0.0813,0.9837
0.0001,1.0000,0.0815,0.9837
0.0001,1.0000,0.0727,0.9842
0.0002,0.9997,0.0758,0.9837
0.0002,1.0000,0.0826,0.9842
0.0001,1.0000,0.0843,0.9842
0.0002,0.9999,0.0796,0.9848
0.0004,0.9996,0.0762,0.9832
0.0003,0.9997,0.0831,0.9832
0.0001,1.0000,0.0749,0.9832
0.0001,1.0000,0.0758,0.9837
0.0002,0.9997,0.0767,0.9837
0.0000,1.0000,0.0796,0.9832
0.0001,1.0000,0.0823,0.9842
0.0001,1.0000,0.0794,0.9853
0.0001,1.0000,0.0887,0.9827
0.0002,0.9997,0.0895,0.9816
0.0001,1.0000,0.0843,0.9842
0.0000,1.0000,0.0877,0.9827
0.0000,1.0000,0.0862,0.9848
0.0001,0.9999,0.0883,0.9832
0.0005,0.9996,0.0773,0.9869
0.0001,1.0000,0.0843,0.9853
0.0001,1.0000,0.0888,0.9848
