train_loss,train_accuracy,valid_loss,valid_accuracy
0.3403,0.8384,0.1280,0.9459
0.3674,0.8658,0.1569,0.9401
0.2191,0.8972,0.2458,0.8761
0.1432,0.9390,0.1178,0.9491
0.1433,0.9325,0.1429,0.9254
0.1267,0.9421,0.1585,0.9228
0.1052,0.9480,0.0852,0.9569
0.0992,0.9498,0.1204,0.9506
0.0797,0.9605,0.0827,0.9585
0.0633,0.9633,0.0795,0.9601
0.0708,0.9617,0.0848,0.9585
0.1016,0.9566,0.0884,0.9533
0.0726,0.9629,0.0857,0.9590
0.0445,0.9726,0.1180,0.9543
0.0614,0.9659,0.0890,0.9538
0.0609,0.9657,0.0943,0.9611
0.0451,0.9729,0.0988,0.9543
0.0322,0.9792,0.0899,0.9611
0.0665,0.9682,0.0778,0.9648
0.0316,0.9826,0.2065,0.9349
0.0363,0.9789,0.0903,0.9632
0.0429,0.9750,0.1119,0.9522
0.0231,0.9854,0.0962,0.9622
0.0442,0.9792,0.1205,0.9580
0.0309,0.9833,0.1045,0.9517
0.0397,0.9804,0.1618,0.9259
0.0645,0.9759,0.1024,0.9601
0.0217,0.9862,0.1219,0.9533
0.0148,0.9906,0.1868,0.9443
0.0329,0.9827,0.1114,0.9543
0.0235,0.9864,0.0734,0.9611
0.0247,0.9879,0.0999,0.9611
0.0342,0.9815,0.0986,0.9575
0.0348,0.9850,0.0802,0.9638
0.0248,0.9859,0.0894,0.9680
0.0270,0.9873,0.2231,0.9233
0.0175,0.9916,0.1055,0.9648
0.0047,0.9973,0.0973,0.9674
0.0027,0.9978,0.1761,0.9638
0.0602,0.9711,0.1153,0.9606
0.0213,0.9885,0.0988,0.9575
0.0146,0.9924,0.1709,0.9580
0.0090,0.9949,0.1081,0.9648
0.0025,0.9987,0.2451,0.9527
0.0092,0.9941,0.1506,0.9617
0.0138,0.9898,0.1057,0.9638
0.0273,0.9866,0.1435,0.9459
0.0111,0.9944,0.1067,0.9695
0.0226,0.9892,0.1055,0.9522
0.0173,0.9913,0.1218,0.9585
0.0056,0.9963,0.1250,0.9596
0.0025,0.9990,0.1373,0.9575
0.0020,0.9995,0.1366,0.9575
0.0014,0.9990,0.1339,0.9580
0.0013,0.9995,0.1299,0.9601
0.0011,0.9999,0.1235,0.9622
0.0006,0.9999,0.1415,0.9601
0.0006,0.9999,0.1331,0.9627
0.0005,0.9997,0.1509,0.9601
0.0006,0.9996,0.1442,0.9617
0.0003,1.0000,0.1423,0.9622
0.0007,0.9995,0.1566,0.9601
0.0002,1.0000,0.1422,0.9643
0.0005,0.9997,0.1372,0.9643
0.0002,0.9999,0.1605,0.9617
0.0001,1.0000,0.1484,0.9638
0.0001,1.0000,0.1607,0.9632
0.0001,1.0000,0.1630,0.9638
0.0001,1.0000,0.1642,0.9638
0.0001,1.0000,0.1627,0.9653
0.0001,1.0000,0.1757,0.9648
0.0001,1.0000,0.2208,0.9569
0.0001,1.0000,0.1834,0.9648
0.0001,0.9999,0.1596,0.9690
0.0001,1.0000,0.1897,0.9664
0.0000,1.0000,0.1847,0.9659
0.0000,1.0000,0.2053,0.9659
0.0001,0.9999,0.1710,0.9711
0.0005,0.9996,0.1907,0.9632
0.0005,0.9999,0.1761,0.9674
0.0002,0.9999,0.1794,0.9653
0.0001,1.0000,0.1708,0.9674
0.0001,1.0000,0.1882,0.9690
0.0001,1.0000,0.2092,0.9669
0.0003,0.9997,0.1987,0.9638
0.0001,1.0000,0.1931,0.9690
0.0002,0.9997,0.1958,0.9659
0.0002,0.9999,0.2003,0.9653
0.0000,1.0000,0.1945,0.9690
0.0002,0.9999,0.2222,0.9638
0.0001,1.0000,0.3203,0.9554
0.0001,1.0000,0.2154,0.9674
0.0000,1.0000,0.2230,0.9674
0.0000,1.0000,0.2141,0.9680
0.0001,0.9999,0.2248,0.9680
0.0007,0.9994,0.2139,0.9627
0.0001,0.9999,0.2112,0.9643
0.0011,0.9995,0.2028,0.9659
0.0000,1.0000,0.2133,0.9653
0.0000,1.0000,0.2224,0.9622
