train_loss,train_accuracy,valid_loss,valid_accuracy
0.1659,0.9359,0.0747,0.9690
0.0795,0.9668,0.0529,0.9811
0.1035,0.9614,0.0606,0.9795
0.0401,0.9819,0.0534,0.9806
0.0632,0.9743,0.0838,0.9690
0.0559,0.9776,0.0464,0.9827
0.0531,0.9782,0.0502,0.9811
0.0746,0.9739,0.1142,0.9596
0.0511,0.9769,0.0759,0.9632
0.0487,0.9805,0.0641,0.9785
0.0311,0.9850,0.0402,0.9869
0.0173,0.9910,0.0679,0.9774
0.0114,0.9936,0.0754,0.9806
0.0598,0.9804,0.0849,0.9685
0.0493,0.9805,0.0710,0.9758
0.0173,0.9901,0.1029,0.9674
0.0139,0.9911,0.0575,0.9821
0.0068,0.9953,0.0571,0.9821
0.0184,0.9926,0.1133,0.9648
0.0690,0.9726,0.0675,0.9795
0.0172,0.9913,0.0644,0.9821
0.0302,0.9874,0.0973,0.9648
0.0298,0.9887,0.0654,0.9821
0.0103,0.9952,0.0653,0.9827
0.0174,0.9944,0.1015,0.9800
0.0102,0.9959,0.1142,0.9674
0.0515,0.9840,0.0695,0.9785
0.0112,0.9953,0.0661,0.9858
0.0101,0.9945,0.0722,0.9790
0.0160,0.9941,0.0578,0.9806
0.0071,0.9958,0.0754,0.9811
0.0146,0.9953,0.0582,0.9811
0.0038,0.9980,0.0813,0.9785
0.0127,0.9947,0.0942,0.9669
0.0356,0.9880,0.0962,0.9732
0.0232,0.9908,0.0753,0.9732
0.0085,0.9964,0.0676,0.9842
0.0043,0.9982,0.0745,0.9837
0.0087,0.9952,0.0773,0.9811
0.0032,0.9986,0.0770,0.9800
0.0178,0.9939,0.1112,0.9716
0.0160,0.9917,0.0709,0.9758
0.0278,0.9921,0.0851,0.9737
0.0109,0.9950,0.0984,0.9753
0.0090,0.9957,0.0712,0.9827
0.0087,0.9959,0.0895,0.9848
0.0044,0.9976,0.0846,0.9827
0.0122,0.9963,0.0823,0.9722
0.0191,0.9926,0.0847,0.9764
0.0058,0.9973,0.0838,0.9753
0.0046,0.9975,0.0799,0.9800
0.0021,0.9995,0.0791,0.9806
0.0014,0.9996,0.0766,0.9811
0.0015,0.9992,0.0767,0.9816
0.0006,0.9999,0.0763,0.9821
0.0015,0.9995,0.0809,0.9811
0.0009,0.9995,0.0798,0.9827
0.0007,0.9996,0.0796,0.9837
0.0009,0.9996,0.0764,0.9837
0.0006,0.9995,0.0779,0.9837
0.0002,1.0000,0.0820,0.9837
0.0005,0.9996,0.0819,0.9837
0.0003,0.9999,0.0853,0.9832
0.0005,0.9996,0.0844,0.9837
0.0002,0.9999,0.0841,0.9832
0.0004,1.0000,0.0870,0.9832
0.0001,1.0000,0.0838,0.9848
0.0015,0.9997,0.0869,0.9827
0.0001,1.0000,0.0809,0.9827
0.0001,1.0000,0.0813,0.9827
0.0001,1.0000,0.0831,0.9832
0.0004,0.9996,0.0807,0.9842
0.0003,0.9999,0.0854,0.9832
0.0007,0.9999,0.0808,0.9842
0.0001,1.0000,0.0874,0.9842
0.0001,1.0000,0.0880,0.9832
0.0002,1.0000,0.0905,0.9832
0.0000,1.0000,0.0925,0.9832
0.0001,0.9999,0.1030,0.9827
0.0000,1.0000,0.0951,0.9842
0.0008,0.9997,0.1037,0.9816
0.0007,0.9999,0.1145,0.9806
0.0004,0.9999,0.0970,0.9821
0.0004,0.9996,0.0911,0.9827
0.0002,0.9999,0.0922,0.9827
0.0001,0.9999,0.1018,0.9816
0.0000,1.0000,0.1061,0.9821
0.0000,1.0000,0.1093,0.9821
0.0001,1.0000,0.1078,0.9811
0.0001,1.0000,0.1091,0.9816
0.0002,0.9999,0.1076,0.9832
0.0001,1.0000,0.1157,0.9800
0.0000,1.0000,0.1170,0.9821
0.0000,1.0000,0.1161,0.9821
0.0000,1.0000,0.1145,0.9832
0.0008,0.9995,0.1021,0.9827
0.0001,1.0000,0.1033,0.9827
0.0001,0.9999,0.1086,0.9827
0.0000,1.0000,0.1104,0.9827
0.0000,1.0000,0.1069,0.9827
