train_loss,train_accuracy,valid_loss,valid_accuracy
0.1741,0.9205,0.0725,0.9690
0.0984,0.9590,0.0865,0.9716
0.0789,0.9673,0.0637,0.9743
0.0575,0.9722,0.0698,0.9732
0.0372,0.9794,0.0729,0.9669
0.0414,0.9828,0.0614,0.9743
0.0873,0.9673,0.1125,0.9659
0.0468,0.9778,0.0482,0.9832
0.0462,0.9832,0.0589,0.9821
0.0534,0.9785,0.0950,0.9611
0.0237,0.9874,0.0841,0.9779
0.0250,0.9893,0.0643,0.9753
0.0436,0.9814,0.0555,0.9769
0.0331,0.9841,0.0866,0.9743
0.0267,0.9864,0.0635,0.9858
0.0130,0.9927,0.0575,0.9743
0.0246,0.9903,0.0742,0.9737
0.0367,0.9857,0.0662,0.9790
0.0368,0.9841,0.0565,0.9795
0.0268,0.9861,0.0572,0.9800
0.0074,0.9954,0.0702,0.9806
0.0153,0.9927,0.0649,0.9800
0.0145,0.9931,0.0623,0.9806
0.0141,0.9927,0.0580,0.9800
0.0118,0.9939,0.0581,0.9753
0.0121,0.9930,0.0733,0.9821
0.0274,0.9884,0.0998,0.9585
0.0270,0.9888,0.0940,0.9737
0.0137,0.9931,0.0698,0.9806
0.0042,0.9975,0.1046,0.9774
0.0048,0.9967,0.0997,0.9785
0.0218,0.9915,0.0723,0.9706
0.0137,0.9933,0.0882,0.9790
0.0507,0.9829,0.1621,0.9643
0.0144,0.9933,0.0844,0.9779
0.0082,0.9961,0.0825,0.9701
0.0074,0.9954,0.0888,0.9743
0.0061,0.9967,0.0895,0.9779
0.0024,0.9986,0.0896,0.9785
0.0251,0.9904,0.0986,0.9743
0.0245,0.9924,0.0758,0.9764
0.0106,0.9955,0.0799,0.9774
0.0033,0.9980,0.0993,0.9753
0.0060,0.9966,0.0827,0.9774
0.0042,0.9971,0.1166,0.9711
0.0028,0.9982,0.1032,0.9758
0.0123,0.9944,0.0748,0.9806
0.0138,0.9939,0.0681,0.9811
0.0064,0.9971,0.0953,0.9790
0.0273,0.9899,0.1013,0.9722
0.0054,0.9978,0.1067,0.9764
0.0034,0.9987,0.1095,0.9774
0.0030,0.9987,0.1110,0.9795
0.0060,0.9980,0.1048,0.9790
0.0021,0.9992,0.1098,0.9779
0.0021,0.9996,0.1061,0.9800
0.0016,0.9989,0.1060,0.9795
0.0007,0.9999,0.1080,0.9806
0.0018,0.9994,0.1053,0.9785
0.0007,0.9997,0.1067,0.9795
0.0008,0.9996,0.1104,0.9821
0.0005,0.9999,0.1114,0.9800
0.0014,0.9995,0.1165,0.9811
0.0005,0.9995,0.1157,0.9816
0.0006,0.9999,0.1160,0.9806
0.0012,0.9991,0.1196,0.9800
0.0004,0.9999,0.1210,0.9795
0.0004,0.9999,0.1258,0.9800
0.0003,0.9999,0.1254,0.9795
0.0003,1.0000,0.1146,0.9795
0.0002,0.9999,0.1282,0.9800
0.0003,0.9999,0.1301,0.9800
0.0003,1.0000,0.1330,0.9811
0.0002,0.9999,0.1285,0.9816
0.0002,1.0000,0.1286,0.9821
0.0001,1.0000,0.1210,0.9806
0.0003,0.9997,0.1261,0.9800
0.0001,1.0000,0.1284,0.9811
0.0001,1.0000,0.1307,0.9816
0.0007,0.9992,0.1318,0.9785
0.0002,0.9999,0.1292,0.9816
0.0002,0.9999,0.1389,0.9790
0.0007,0.9996,0.1336,0.9779
0.0004,0.9996,0.1513,0.9821
0.0006,0.9997,0.1435,0.9827
0.0001,1.0000,0.1440,0.9827
0.0001,1.0000,0.1488,0.9821
0.0003,0.9997,0.1514,0.9816
0.0001,1.0000,0.1553,0.9811
0.0007,0.9996,0.1478,0.9827
0.0003,0.9999,0.1465,0.9811
0.0001,1.0000,0.1509,0.9806
0.0003,0.9997,0.1395,0.9811
0.0000,1.0000,0.1428,0.9811
0.0000,1.0000,0.1414,0.9816
0.0000,1.0000,0.1442,0.9806
0.0000,1.0000,0.1432,0.9811
0.0001,1.0000,0.1599,0.9811
0.0001,1.0000,0.1598,0.9800
0.0002,0.9999,0.1587,0.9832
