train_loss,train_accuracy,valid_loss,valid_accuracy
0.1928,0.9179,0.1010,0.9569
0.0950,0.9603,0.0745,0.9659
0.0822,0.9628,0.0859,0.9611
0.0611,0.9721,0.0778,0.9695
0.0569,0.9727,0.1251,0.9501
0.0721,0.9684,0.0612,0.9716
0.0400,0.9785,0.0632,0.9758
0.0575,0.9769,0.0951,0.9685
0.0550,0.9792,0.0573,0.9743
0.0342,0.9828,0.0551,0.9769
0.0400,0.9826,0.1424,0.9480
0.0384,0.9794,0.0900,0.9685
0.0241,0.9862,0.0779,0.9701
0.0418,0.9817,0.0742,0.9764
0.0259,0.9868,0.0666,0.9753
0.0145,0.9908,0.0565,0.9827
0.0109,0.9927,0.0746,0.9800
0.0278,0.9878,0.1150,0.9664
0.0340,0.9846,0.0921,0.9627
0.0233,0.9893,0.0791,0.9690
0.0162,0.9918,0.0798,0.9795
0.0143,0.9917,0.0855,0.9748
0.0629,0.9745,0.1128,0.9596
0.0215,0.9869,0.0691,0.9769
0.0111,0.9934,0.0702,0.9769
0.0384,0.9838,0.0993,0.9680
0.0418,0.9826,0.0620,0.9737
0.0114,0.9938,0.0887,0.9753
0.0077,0.9955,0.0750,0.9795
0.0263,0.9897,0.0841,0.9785
0.0205,0.9885,0.0719,0.9732
0.0071,0.9958,0.1066,0.9643
0.0121,0.9934,0.1170,0.9737
0.0253,0.9903,0.1107,0.9617
0.0120,0.9939,0.0947,0.9695
0.0094,0.9952,0.0902,0.9716
0.0039,0.9982,0.1247,0.9690
0.0035,0.9978,0.1135,0.9737
0.0101,0.9962,0.0851,0.9737
0.0061,0.9963,0.0842,0.9800
0.0261,0.9894,0.2679,0.9286
0.0602,0.9820,0.1299,0.9512
0.0152,0.9930,0.1136,0.9680
0.0052,0.9978,0.0875,0.9748
0.0081,0.9959,0.1031,0.9774
0.0106,0.9945,0.0892,0.9743
0.0067,0.9962,0.0786,0.9727
0.0087,0.9963,0.0857,0.9758
0.0098,0.9955,0.0874,0.9727
0.0112,0.9954,0.0943,0.9737
0.0065,0.9963,0.0845,0.9785
0.0031,0.9981,0.0828,0.9806
0.0034,0.9978,0.0776,0.9795
0.0031,0.9981,0.0807,0.9795
0.0019,0.9990,0.0818,0.9806
0.0043,0.9980,0.0823,0.9769
0.0014,0.9994,0.0815,0.9785
0.0015,0.9994,0.0844,0.9774
0.0007,0.9999,0.0853,0.9764
0.0024,0.9995,0.0761,0.9816
0.0012,0.9994,0.0777,0.9806
0.0012,0.9992,0.0823,0.9779
0.0010,0.9996,0.0776,0.9806
0.0006,0.9999,0.0818,0.9800
0.0007,0.9996,0.0885,0.9800
0.0007,0.9995,0.0857,0.9811
0.0004,0.9999,0.0863,0.9800
0.0008,0.9994,0.0836,0.9785
0.0006,0.9997,0.0850,0.9795
0.0003,1.0000,0.0901,0.9795
0.0003,0.9997,0.0929,0.9800
0.0005,0.9996,0.0905,0.9821
0.0003,0.9999,0.0933,0.9811
0.0003,0.9996,0.0999,0.9800
0.0005,0.9999,0.0920,0.9816
0.0006,0.9996,0.0969,0.9811
0.0011,0.9996,0.1058,0.9795
0.0004,0.9999,0.1101,0.9800
0.0005,0.9997,0.1020,0.9811
0.0009,0.9996,0.1107,0.9779
0.0004,0.9997,0.0970,0.9811
0.0004,0.9996,0.1025,0.9795
0.0002,1.0000,0.0987,0.9800
0.0003,0.9999,0.0984,0.9800
0.0003,0.9997,0.0991,0.9816
0.0003,0.9999,0.1135,0.9790
0.0001,1.0000,0.1034,0.9790
0.0002,1.0000,0.1053,0.9790
0.0001,1.0000,0.1076,0.9800
0.0005,0.9999,0.1143,0.9827
0.0003,0.9999,0.1246,0.9790
0.0004,0.9999,0.1228,0.9785
0.0001,1.0000,0.1133,0.9806
0.0002,0.9999,0.1173,0.9795
0.0002,0.9999,0.1063,0.9827
0.0001,1.0000,0.1113,0.9806
0.0001,1.0000,0.1174,0.9800
0.0005,0.9995,0.1157,0.9821
0.0006,0.9997,0.1094,0.9800
0.0003,0.9997,0.1076,0.9795
