train_loss,train_accuracy,valid_loss,valid_accuracy
0.1703,0.9308,0.0699,0.9732
0.0766,0.9660,0.0800,0.9653
0.0863,0.9632,0.0578,0.9774
0.0598,0.9725,0.0636,0.9716
0.0464,0.9791,0.0986,0.9590
0.0627,0.9753,0.0645,0.9722
0.0442,0.9762,0.0472,0.9800
0.0272,0.9846,0.0571,0.9779
0.0327,0.9842,0.0431,0.9832
0.0171,0.9920,0.0557,0.9848
0.0275,0.9836,0.0653,0.9748
0.0643,0.9730,0.1058,0.9774
0.0379,0.9834,0.0543,0.9785
0.0205,0.9894,0.0773,0.9737
0.0218,0.9888,0.0553,0.9853
0.0100,0.9941,0.0716,0.9774
0.0294,0.9860,0.1292,0.9758
0.0270,0.9871,0.0838,0.9774
0.0258,0.9906,0.0905,0.9690
0.0212,0.9894,0.0678,0.9827
0.0150,0.9925,0.0642,0.9795
0.0155,0.9920,0.0648,0.9727
0.0432,0.9878,0.0793,0.9732
0.0178,0.9917,0.0877,0.9806
0.0294,0.9880,0.0667,0.9811
0.0211,0.9888,0.0897,0.9800
0.0071,0.9966,0.0764,0.9800
0.0049,0.9972,0.0861,0.9795
0.0221,0.9898,0.0831,0.9785
0.0203,0.9933,0.1340,0.9769
0.0133,0.9935,0.1235,0.9785
0.0097,0.9947,0.0975,0.9811
0.0151,0.9943,0.0967,0.9764
0.0195,0.9898,0.1137,0.9779
0.0043,0.9968,0.0851,0.9827
0.0041,0.9981,0.1303,0.9790
0.0127,0.9930,0.0905,0.9821
0.0127,0.9948,0.1003,0.9821
0.0023,0.9991,0.1135,0.9800
0.0215,0.9921,0.1006,0.9711
0.0351,0.9879,0.1029,0.9664
0.0191,0.9917,0.0805,0.9811
0.0073,0.9964,0.0767,0.9832
0.0069,0.9971,0.0845,0.9821
0.0049,0.9968,0.0862,0.9806
0.0020,0.9989,0.0883,0.9811
0.0097,0.9962,0.0879,0.9769
0.0099,0.9958,0.0787,0.9837
0.0193,0.9931,0.0680,0.9827
0.0051,0.9972,0.0804,0.9853
0.0027,0.9991,0.0733,0.9827
0.0016,0.9995,0.0752,0.9806
0.0017,0.9995,0.0740,0.9806
0.0011,0.9996,0.0746,0.9806
0.0009,0.9994,0.0746,0.9821
0.0012,0.9996,0.0731,0.9800
0.0004,0.9999,0.0750,0.9806
0.0008,0.9996,0.0759,0.9800
0.0009,0.9999,0.0738,0.9811
0.0003,1.0000,0.0757,0.9816
0.0004,0.9999,0.0766,0.9811
0.0003,0.9999,0.0777,0.9816
0.0010,0.9992,0.0741,0.9832
0.0005,0.9996,0.0774,0.9827
0.0009,0.9996,0.0871,0.9821
0.0004,0.9996,0.0943,0.9827
0.0002,0.9999,0.0940,0.9827
0.0003,0.9999,0.0926,0.9821
0.0004,0.9999,0.0938,0.9821
0.0002,1.0000,0.0950,0.9832
0.0007,0.9997,0.0921,0.9832
0.0002,0.9999,0.0923,0.9821
0.0002,0.9999,0.0901,0.9848
0.0001,1.0000,0.0927,0.9837
0.0002,0.9999,0.1006,0.9816
0.0004,0.9999,0.0970,0.9821
0.0005,0.9997,0.0959,0.9827
0.0004,0.9997,0.0913,0.9827
0.0002,1.0000,0.0944,0.9837
0.0001,0.9999,0.0958,0.9853
0.0001,1.0000,0.0976,0.9837
0.0001,1.0000,0.1088,0.9816
0.0005,0.9995,0.0994,0.9832
0.0001,0.9999,0.1008,0.9832
0.0001,1.0000,0.1088,0.9827
0.0001,0.9999,0.1096,0.9827
0.0000,1.0000,0.1123,0.9821
0.0001,0.9999,0.1023,0.9827
0.0006,0.9999,0.1162,0.9827
0.0001,1.0000,0.1142,0.9827
0.0000,1.0000,0.1189,0.9811
0.0000,1.0000,0.1194,0.9821
0.0001,0.9999,0.1186,0.9811
0.0001,0.9999,0.1119,0.9853
0.0004,0.9999,0.1088,0.9853
0.0001,1.0000,0.1084,0.9842
0.0000,1.0000,0.1116,0.9832
0.0001,0.9999,0.1127,0.9842
0.0000,1.0000,0.1152,0.9858
0.0000,1.0000,0.1220,0.9869
