train_loss,train_accuracy,valid_loss,valid_accuracy
0.3316,0.8593,0.2489,0.9018
0.2564,0.8926,0.2031,0.9133
0.2335,0.9004,0.1365,0.9433
0.1545,0.9357,0.1211,0.9496
0.1221,0.9487,0.1825,0.9296
0.1362,0.9375,0.1137,0.9501
0.1129,0.9516,0.1319,0.9496
0.0838,0.9598,0.1454,0.9422
0.0871,0.9587,0.0826,0.9643
0.0653,0.9721,0.1162,0.9475
0.0833,0.9609,0.0844,0.9669
0.0760,0.9624,0.0872,0.9648
0.0623,0.9727,0.0675,0.9685
0.0768,0.9655,0.0747,0.9669
0.0823,0.9643,0.1425,0.9428
0.0794,0.9614,0.1051,0.9480
0.0649,0.9697,0.0773,0.9643
0.0526,0.9752,0.0779,0.9706
0.0708,0.9696,0.0769,0.9674
0.0739,0.9657,0.0868,0.9664
0.0431,0.9767,0.0702,0.9659
0.0457,0.9762,0.0661,0.9748
0.0569,0.9713,0.0685,0.9748
0.0524,0.9722,0.0749,0.9727
0.0348,0.9803,0.0630,0.9695
0.0314,0.9826,0.0783,0.9669
0.0358,0.9813,0.0777,0.9648
0.0322,0.9836,0.0790,0.9737
0.0357,0.9808,0.0866,0.9690
0.0551,0.9734,0.0778,0.9643
0.0604,0.9692,0.0684,0.9743
0.0399,0.9796,0.0858,0.9722
0.0416,0.9792,0.0597,0.9758
0.0596,0.9750,0.1072,0.9496
0.0400,0.9792,0.0561,0.9753
0.0304,0.9823,0.0947,0.9622
0.0281,0.9843,0.0811,0.9690
0.0282,0.9854,0.0703,0.9695
0.0372,0.9812,0.0519,0.9758
0.0469,0.9763,0.0666,0.9732
0.0290,0.9833,0.0601,0.9758
0.0287,0.9855,0.0511,0.9748
0.0271,0.9838,0.2088,0.9401
0.0216,0.9873,0.0563,0.9806
0.0264,0.9855,0.0435,0.9790
0.0194,0.9890,0.0489,0.9785
0.0461,0.9809,0.0422,0.9821
0.0296,0.9843,0.0579,0.9774
0.0160,0.9911,0.0615,0.9774
0.0154,0.9904,0.0720,0.9732
0.0098,0.9949,0.0600,0.9764
0.0077,0.9948,0.0590,0.9785
0.0063,0.9963,0.0633,0.9753
0.0047,0.9966,0.0622,0.9774
0.0065,0.9959,0.0618,0.9785
0.0047,0.9976,0.0687,0.9758
0.0044,0.9978,0.0617,0.9790
0.0054,0.9969,0.0717,0.9758
0.0033,0.9978,0.0686,0.9769
0.0039,0.9971,0.0821,0.9748
0.0035,0.9976,0.0835,0.9727
0.0045,0.9973,0.0715,0.9785
0.0039,0.9976,0.0728,0.9795
0.0027,0.9983,0.0784,0.9769
0.0020,0.9982,0.0771,0.9785
0.0021,0.9983,0.0783,0.9779
0.0030,0.9981,0.0881,0.9785
0.0034,0.9982,0.0756,0.9821
0.0018,0.9989,0.0787,0.9806
0.0027,0.9982,0.0821,0.9795
0.0035,0.9977,0.0784,0.9816
0.0021,0.9990,0.0833,0.9790
0.0027,0.9980,0.0994,0.9753
0.0038,0.9982,0.0817,0.9790
0.0018,0.9989,0.0805,0.9779
0.0051,0.9972,0.0936,0.9769
0.0017,0.9990,0.0871,0.9779
0.0031,0.9978,0.0838,0.9785
0.0013,0.9990,0.0953,0.9790
0.0009,0.9996,0.1003,0.9779
0.0027,0.9989,0.0784,0.9821
0.0015,0.9991,0.0806,0.9795
0.0013,0.9991,0.0903,0.9769
0.0010,0.9991,0.0943,0.9811
0.0011,0.9991,0.0868,0.9785
0.0015,0.9990,0.0819,0.9816
0.0006,0.9997,0.0975,0.9785
0.0016,0.9991,0.0925,0.9774
0.0012,0.9989,0.0944,0.9800
0.0034,0.9985,0.0865,0.9785
0.0015,0.9991,0.1096,0.9769
0.0007,0.9994,0.1002,0.9785
0.0018,0.9990,0.1145,0.9764
0.0024,0.9991,0.0829,0.9785
0.0011,0.9996,0.0931,0.9779
0.0008,0.9992,0.0933,0.9795
0.0003,1.0000,0.0845,0.9785
0.0003,0.9997,0.0937,0.9790
0.0012,0.9996,0.0882,0.9795
0.0015,0.9992,0.0863,0.9790
