train_loss,train_accuracy,valid_loss,valid_accuracy
0.2511,0.8975,0.1018,0.9533
0.1497,0.9348,0.1166,0.9480
0.0894,0.9572,0.1325,0.9454
0.0767,0.9626,0.0781,0.9632
0.0743,0.9655,0.1885,0.9522
0.0701,0.9671,0.0881,0.9575
0.0412,0.9769,0.1043,0.9559
0.0568,0.9735,0.0846,0.9617
0.0388,0.9791,0.0796,0.9569
0.0228,0.9876,0.1029,0.9659
0.0233,0.9870,0.0950,0.9564
0.0349,0.9847,0.1077,0.9601
0.0257,0.9869,0.1013,0.9653
0.0147,0.9918,0.1175,0.9648
0.0235,0.9874,0.0946,0.9659
0.0111,0.9950,0.0970,0.9580
0.0193,0.9898,0.1159,0.9664
0.0356,0.9860,0.1321,0.9533
0.0182,0.9904,0.2240,0.9349
0.0087,0.9961,0.1095,0.9585
0.0324,0.9884,0.0994,0.9648
0.0164,0.9935,0.0993,0.9611
0.0040,0.9989,0.1506,0.9653
0.0087,0.9954,0.1309,0.9527
0.0199,0.9912,0.1075,0.9585
0.0060,0.9969,0.1176,0.9569
0.0268,0.9884,0.1485,0.9596
0.0076,0.9975,0.1114,0.9596
0.0068,0.9968,0.1641,0.9643
0.0203,0.9933,0.1071,0.9575
0.0075,0.9968,0.0994,0.9559
0.0076,0.9966,0.1847,0.9512
0.0032,0.9986,0.1343,0.9611
0.0145,0.9929,0.1453,0.9622
0.0061,0.9971,0.1351,0.9606
0.0028,0.9987,0.1581,0.9548
0.0042,0.9983,0.1546,0.9664
0.0002,0.9999,0.2107,0.9590
0.0168,0.9961,0.0960,0.9538
0.0193,0.9907,0.1137,0.9543
0.0088,0.9958,0.1519,0.9622
0.0016,0.9983,0.2030,0.9622
0.0158,0.9927,0.1159,0.9617
0.0024,0.9983,0.1577,0.9606
0.0059,0.9975,0.1500,0.9622
0.0011,0.9991,0.3457,0.9417
0.0233,0.9892,0.1522,0.9601
0.0039,0.9969,0.1605,0.9569
0.0127,0.9955,0.2258,0.9517
0.0056,0.9971,0.1880,0.9585
0.0011,0.9991,0.1732,0.9617
0.0004,0.9999,0.1736,0.9632
0.0004,0.9999,0.1784,0.9622
0.0001,1.0000,0.1792,0.9643
0.0007,0.9999,0.1837,0.9611
0.0001,0.9999,0.1849,0.9627
0.0001,1.0000,0.1893,0.9632
0.0001,1.0000,0.1969,0.9632
0.0000,1.0000,0.2020,0.9627
0.0003,0.9999,0.1939,0.9648
0.0001,1.0000,0.2103,0.9648
0.0000,1.0000,0.2195,0.9643
0.0000,1.0000,0.2243,0.9638
0.0007,0.9999,0.2125,0.9664
0.0001,1.0000,0.2166,0.9648
0.0000,1.0000,0.2265,0.9632
0.0000,1.0000,0.2323,0.9632
0.0000,1.0000,0.2519,0.9617
0.0000,1.0000,0.2542,0.9617
0.0000,1.0000,0.2587,0.9617
0.0000,1.0000,0.2632,0.9627
0.0001,0.9999,0.2628,0.9617
0.0000,1.0000,0.2754,0.9601
0.0000,1.0000,0.2883,0.9601
0.0000,1.0000,0.3035,0.9611
0.0000,1.0000,0.3078,0.9611
0.0008,0.9997,0.2605,0.9596
0.0000,1.0000,0.2492,0.9601
0.0000,1.0000,0.2640,0.9622
0.0000,1.0000,0.2691,0.9617
0.0002,0.9999,0.2979,0.9632
0.0000,1.0000,0.2985,0.9622
0.0000,1.0000,0.3003,0.9622
0.0000,1.0000,0.3070,0.9627
0.0000,1.0000,0.3109,0.9627
0.0000,1.0000,0.3132,0.9627
0.0000,1.0000,0.3197,0.9606
0.0009,0.9997,0.2784,0.9606
0.0002,0.9997,0.2867,0.9606
0.0000,1.0000,0.2856,0.9648
0.0000,1.0000,0.2947,0.9617
0.0000,1.0000,0.3037,0.9622
0.0000,1.0000,0.3062,0.9622
0.0000,1.0000,0.3041,0.9674
0.0000,1.0000,0.3107,0.9674
0.0000,1.0000,0.3378,0.9632
0.0009,0.9997,0.3043,0.9606
0.0000,1.0000,0.2964,0.9611
0.0000,1.0000,0.3139,0.9601
0.0000,1.0000,0.3126,0.9606
