train_loss,train_accuracy,valid_loss,valid_accuracy
0.2346,0.9134,0.0961,0.9622
0.0951,0.9640,0.0763,0.9690
0.0683,0.9716,0.0677,0.9758
0.1061,0.9572,0.0734,0.9706
0.1003,0.9654,0.0929,0.9611
0.0901,0.9666,0.0641,0.9774
0.0483,0.9813,0.0510,0.9785
0.0392,0.9818,0.0730,0.9737
0.0639,0.9750,0.0701,0.9748
0.0702,0.9716,0.0596,0.9837
0.0927,0.9663,0.0706,0.9785
0.0464,0.9833,0.0578,0.9842
0.0242,0.9882,0.0614,0.9800
0.0231,0.9889,0.0676,0.9806
0.0272,0.9887,0.0578,0.9811
0.0422,0.9833,0.0726,0.9816
0.0516,0.9782,0.0574,0.9842
0.0272,0.9871,0.0505,0.9816
0.0509,0.9794,0.0762,0.9737
0.0339,0.9850,0.1212,0.9743
0.0300,0.9855,0.0685,0.9790
0.0279,0.9871,0.0486,0.9827
0.0273,0.9889,0.1143,0.9632
0.0349,0.9857,0.0612,0.9795
0.0270,0.9879,0.0562,0.9816
0.0189,0.9903,0.0503,0.9863
0.0166,0.9934,0.0640,0.9790
0.0182,0.9912,0.0475,0.9848
0.0182,0.9901,0.0443,0.9848
0.0197,0.9912,0.0821,0.9764
0.0262,0.9902,0.0523,0.9869
0.0229,0.9889,0.0980,0.9716
0.0428,0.9832,0.0579,0.9769
0.0183,0.9902,0.0561,0.9869
0.0196,0.9907,0.0325,0.9863
0.0322,0.9879,0.0877,0.9669
0.0240,0.9884,0.0870,0.9769
0.0185,0.9911,0.0736,0.9795
0.0116,0.9944,0.1030,0.9758
0.0088,0.9959,0.0938,0.9758
0.0318,0.9866,0.0535,0.9816
0.0155,0.9927,0.0658,0.9827
0.0162,0.9939,0.0776,0.9785
0.0150,0.9938,0.0922,0.9722
0.0139,0.9934,0.0519,0.9842
0.0109,0.9943,0.0594,0.9858
0.0071,0.9971,0.0530,0.9911
0.0130,0.9925,0.0706,0.9795
0.0300,0.9882,0.0976,0.9748
0.0114,0.9938,0.1247,0.9743
0.0094,0.9959,0.0829,0.9806
0.0056,0.9978,0.0769,0.9827
0.0031,0.9978,0.0769,0.9816
0.0032,0.9978,0.0743,0.9821
0.0037,0.9977,0.0711,0.9821
0.0029,0.9986,0.0725,0.9795
0.0035,0.9983,0.0669,0.9800
0.0019,0.9987,0.0703,0.9806
0.0019,0.9987,0.0679,0.9806
0.0022,0.9983,0.0653,0.9816
0.0024,0.9989,0.0602,0.9848
0.0010,0.9991,0.0632,0.9837
0.0011,0.9989,0.0658,0.9821
0.0026,0.9990,0.0650,0.9837
0.0010,0.9994,0.0621,0.9863
0.0008,0.9995,0.0677,0.9832
0.0020,0.9991,0.0680,0.9832
0.0009,0.9995,0.0669,0.9848
0.0011,0.9994,0.0762,0.9837
0.0005,0.9995,0.0721,0.9853
0.0013,0.9996,0.0636,0.9837
0.0013,0.9991,0.0626,0.9858
0.0005,0.9999,0.0657,0.9858
0.0006,0.9995,0.0667,0.9842
0.0021,0.9987,0.0662,0.9827
0.0007,0.9995,0.0660,0.9827
0.0014,0.9986,0.0627,0.9848
0.0011,0.9996,0.0554,0.9842
0.0025,0.9989,0.0672,0.9827
0.0010,0.9996,0.0646,0.9848
0.0010,0.9994,0.0645,0.9821
0.0003,0.9996,0.0600,0.9842
0.0006,0.9999,0.0641,0.9853
0.0003,0.9997,0.0652,0.9853
0.0003,0.9999,0.0582,0.9853
0.0008,0.9995,0.0628,0.9853
0.0009,0.9996,0.0683,0.9858
0.0010,0.9996,0.0805,0.9832
0.0005,0.9997,0.0634,0.9863
0.0009,0.9992,0.0595,0.9863
0.0002,0.9999,0.0687,0.9858
0.0014,0.9994,0.0908,0.9842
0.0005,0.9996,0.0779,0.9858
0.0009,0.9999,0.0814,0.9848
0.0002,1.0000,0.0826,0.9858
0.0003,0.9997,0.0689,0.9874
0.0001,1.0000,0.0638,0.9869
0.0001,1.0000,0.0787,0.9858
0.0004,0.9996,0.0998,0.9837
0.0001,1.0000,0.1026,0.9837
